Time,VehicleID,Type,SectionID,SegmentID,NumLane,CurPosition,CurrentSpeed(mph), CentroidOrigin, CentroidDest,Distance2End,statusLeft,statusRight,statusStop,nextSection
4.000000,93,1,400,0,2,354.7332,38.4392,7994785,7994814,693.2286,0,0,0,460
4.000000,106,1,403,0,1,231.2161,36.9998,7994771,7994808,473.5252,0,0,0,464
4.000000,96,1,457,0,1,489.4068,41.5020,7994773,7994812,275.3133,0,0,0,-1
4.000000,82,1,458,0,3,329.4631,0.0000,7994779,7994800,4.9301,1,0,1,449
4.000000,102,1,506,0,1,517.4086,32.9772,7994773,7994808,75.6181,0,0,0,563
4.000000,108,1,506,0,2,37.0931,32.6622,7994773,7994812,558.3542,0,0,0,563
4.000000,109,1,531,0,2,50.9326,45.3240,7994775,7994812,135.2357,0,0,0,24680
4.000000,31,1,562,0,2,517.6662,32.6018,7994768,7994816,84.3253,0,0,0,-1
4.000000,100,1,563,0,3,57.4975,35.8088,7994773,7994812,504.6030,0,0,0,452
4.000000,98,1,568,0,3,536.5905,37.1364,7994783,7994826,297.4824,0,0,0,7686011
4.000000,104,1,22208,0,3,171.1097,29.5756,7994781,7994814,59.3223,0,0,0,460
4.000000,103,1,22211,0,3,156.1888,0.0000,7994787,7994824,4.9213,0,0,1,459
4.000000,107,1,22215,0,1,67.1935,50.1925,7994787,7994824,52.6733,0,0,0,22211
4.000000,81,1,7686011,0,1,506.7627,38.1308,7994773,7994826,9.2464,0,0,0,462
4.000000,83,1,7686011,0,1,240.3946,36.4814,7994773,7994826,275.6145,0,0,0,462
4.000000,74,1,7686011,0,2,371.6731,37.6896,7994773,7994808,144.3360,0,0,0,462
8.000000,92,1,399,0,1,31.1846,33.4688,7994785,7994810,600.1293,0,0,0,402
8.000000,94,1,399,0,2,30.2655,34.3087,7994785,7994810,601.0484,0,0,0,402
8.000000,93,1,400,0,2,581.6647,38.7533,7994785,7994814,466.2971,0,0,0,460
8.000000,106,1,403,0,1,448.2794,36.9998,7994771,7994808,256.4619,0,0,0,464
8.000000,85,1,451,0,1,206.7920,39.0555,7994779,7994822,317.3083,0,0,0,24683
8.000000,99,1,452,0,2,210.1377,38.8562,7994775,7994812,121.3288,0,0,0,457
8.000000,96,1,457,0,1,732.9249,41.5116,7994773,7994812,31.7952,0,0,0,-1
8.000000,104,1,460,0,2,0.7024,35.9069,7994781,7994814,312.1204,0,0,0,-1
8.000000,81,1,462,0,2,193.4535,38.1308,7994773,7994826,286.7763,0,0,0,7602953
8.000000,74,1,462,0,3,55.7730,37.6896,7994773,7994808,432.3341,0,0,0,7602953
8.000000,108,1,506,0,2,228.7098,32.6622,7994773,7994812,366.7375,0,0,0,563
8.000000,102,1,563,0,2,30.4434,32.9772,7994773,7994808,530.2818,0,0,0,449
8.000000,100,1,563,0,3,267.5738,35.8088,7994773,7994812,294.5268,0,0,0,452
8.000000,101,1,563,0,3,157.2401,35.8471,7994773,7994812,404.8604,0,0,0,452
8.000000,98,1,568,0,3,753.6315,35.5529,7994783,7994826,80.4414,0,0,0,7686011
8.000000,105,1,568,0,3,117.3603,33.8316,7994800,7994826,716.7125,0,0,0,7686011
8.000000,110,1,21931,0,3,30.3927,52.4250,7994785,7994804,1907.9732,0,0,0,399
8.000000,109,1,24680,0,2,106.6332,45.3240,7994775,7994812,414.3148,0,0,0,452
8.000000,83,1,7686011,0,1,454.4167,36.4814,7994773,7994826,61.5924,0,0,0,462
12.000000,111,1,338,0,1,164.6941,37.7378,7994768,7994816,148.6646,0,0,0,400
12.000000,92,1,399,0,1,261.9080,41.5644,7994785,7994810,369.4058,0,0,0,402
12.000000,94,1,399,0,2,261.2830,41.1819,7994785,7994810,370.0309,0,0,0,402
12.000000,93,1,400,0,2,809.1491,38.7828,7994785,7994814,238.8128,0,0,0,460
12.000000,106,1,403,0,1,665.3428,36.9998,7994771,7994808,39.3985,0,0,0,464
12.000000,82,1,449,0,2,147.4822,32.3241,7994779,7994800,392.9529,0,0,0,-1
12.000000,85,1,451,0,1,444.1771,40.9216,7994779,7994822,79.9232,0,0,0,24683
12.000000,99,1,457,0,1,64.6542,38.8562,7994775,7994812,700.0659,0,0,0,-1
12.000000,107,1,459,0,1,207.5221,49.7080,7994787,7994824,132.4799,0,0,0,24692
12.000000,104,1,460,0,2,243.8036,43.6483,7994781,7994814,69.0193,0,0,0,-1
12.000000,81,1,462,0,2,405.0576,26.7203,7994773,7994826,75.1722,0,0,0,7602953
12.000000,83,1,462,0,2,131.4309,36.4814,7994773,7994826,348.7990,0,0,0,7602953
12.000000,74,1,462,0,3,276.8833,37.6896,7994773,7994808,211.2238,0,0,0,7602953
12.000000,108,1,506,0,2,420.3264,32.6622,7994773,7994812,175.1209,0,0,0,563
12.000000,112,1,506,0,2,72.5371,35.6247,7994773,7994812,522.9102,0,0,0,563
12.000000,102,1,563,0,2,223.9080,32.9772,7994773,7994808,336.8172,0,0,0,449
12.000000,101,1,563,0,3,369.9590,37.1660,7994773,7994812,192.1415,0,0,0,452
