Time,VehicleID,Type,SectionID,SegmentID,NumLane,CurPosition,CurrentSpeed(mph), CentroidOrigin, CentroidDest,Distance2End,statusLeft,statusRight,statusStop,nextSection
1804.000000,852,1,338,0,2,293.1845,28.3949,7994768,7994816,20.1742,0,0,0,400
1804.000000,826,1,400,0,2,37.9778,30.7411,7994768,7994816,1009.9840,0,0,0,461
1804.000000,819,1,400,0,3,50.4768,29.6038,7994768,7994816,997.4851,0,0,0,461
1804.000000,839,1,449,0,1,528.0604,34.0723,7994773,7994826,12.3747,0,0,0,24660
1804.000000,842,1,449,0,2,296.3885,36.6785,7994773,7994826,244.0466,0,0,0,24660
1804.000000,765,1,450,0,1,158.9595,36.3380,7994768,7994816,402.7873,0,0,0,562
1804.000000,773,1,450,0,1,54.6188,32.3857,7994768,7994816,507.1280,0,0,0,562
1804.000000,755,1,450,0,2,149.3923,34.5185,7994785,7994816,413.2931,0,0,0,562
1804.000000,807,1,450,0,2,63.3380,30.9802,7994783,7994816,499.3475,0,0,0,562
1804.000000,811,1,457,0,1,523.2199,39.2682,7994773,7994812,241.5003,0,0,0,-1
1804.000000,838,1,458,0,1,336.0170,0.0000,7994779,7994816,4.9232,0,1,1,450
1804.000000,813,1,461,0,1,828.2927,1.2176,7994768,7994816,5.7441,0,0,0,569
1804.000000,799,1,461,0,2,824.1464,4.8375,7994768,7994816,9.8904,0,0,0,569
1804.000000,780,1,462,0,2,82.2889,38.2060,7994773,7994826,397.9409,0,0,0,7602953
1804.000000,782,1,462,0,3,22.8324,38.9260,7994773,7994826,465.2747,0,0,0,7602953
1804.000000,847,1,464,0,2,344.9956,41.3870,7994771,7994808,295.8544,0,0,0,7602953
1804.000000,851,1,506,0,2,540.5458,37.3547,7994773,7994826,54.9015,0,0,0,563
1804.000000,830,1,567,0,1,58.8312,30.8772,7994783,7994820,264.1155,0,0,0,-1
1804.000000,853,1,655,0,1,118.3152,32.3964,7994783,7994820,212.6515,0,0,0,567
1804.000000,833,1,22208,0,2,225.5098,0.0000,7994781,7994814,4.9223,0,0,1,460
1804.000000,841,1,22208,0,2,204.3661,0.0000,7994781,7994814,26.0660,0,0,1,460
1804.000000,843,1,22208,0,2,182.7364,0.0000,7994781,7994814,47.6956,0,0,1,460
1804.000000,825,1,22208,0,3,225.4997,0.0000,7994781,7994814,4.9323,0,0,1,460
1804.000000,834,1,22208,0,3,198.7810,0.0000,7994781,7994814,31.6511,0,0,1,460
1804.000000,848,1,22211,0,2,156.1878,0.0000,7994787,7994824,4.9224,0,0,1,459
1804.000000,849,1,22211,0,2,128.1057,0.0000,7994787,7994824,33.0045,0,0,1,459
1804.000000,845,1,22211,0,3,156.1835,0.0000,7994787,7994824,4.9267,0,0,1,459
1804.000000,850,1,22211,0,3,139.6135,0.0000,7994787,7994824,21.4966,0,0,1,459
1804.000000,854,1,22215,0,2,28.1473,47.8355,7994787,7994826,91.7195,0,0,0,22211
1804.000000,814,1,24660,0,1,284.0077,24.7191,7994773,7994826,73.3321,0,0,0,568
1804.000000,817,1,24660,0,1,212.8112,31.4075,7994773,7994826,144.5286,0,0,0,568
1804.000000,823,1,24660,0,1,17.0819,32.6072,7994773,7994826,340.2579,0,0,0,568
1804.000000,815,1,24660,0,2,260.7964,29.9592,7994773,7994826,96.5434,0,0,0,568
1804.000000,816,1,24660,0,2,170.4421,35.4262,7994773,7994826,186.8976,0,0,0,568
1804.000000,820,1,24660,0,2,7.9006,31.6774,7994773,7994826,349.4392,0,0,0,568
1804.000000,840,1,24680,0,1,515.9464,0.0000,7994775,7994812,4.9232,0,0,1,452
1804.000000,779,1,7602953,0,1,143.0782,41.7368,7994787,7994826,121.5929,0,0,0,7602962
1804.000000,785,1,7686011,0,1,365.8790,33.7346,7994773,7994826,150.1301,0,0,0,462
1804.000000,789,1,7686011,0,1,268.7484,33.5963,7994773,7994826,247.2607,0,0,0,462
1804.000000,803,1,7686011,0,1,183.6038,33.5511,7994773,7994826,332.4053,0,0,0,462
1804.000000,808,1,7686011,0,1,104.8483,33.7406,7994773,7994826,411.1608,0,0,0,462
1804.000000,783,1,7686011,0,2,351.8329,35.4780,7994773,7994826,164.1762,0,0,0,462
1804.000000,787,1,7686011,0,2,235.0913,34.3005,7994773,7994826,280.9178,0,0,0,462
1804.000000,801,1,7686011,0,2,138.1721,34.1526,7994773,7994826,377.8370,0,0,0,462
1808.000000,826,1,400,0,2,243.9524,36.6316,7994768,7994816,804.0094,0,0,0,461
1808.000000,832,1,400,0,2,148.2426,33.5032,7994768,7994816,899.7193,0,0,0,461
1808.000000,819,1,400,0,3,231.6762,31.1764,7994768,7994816,816.2857,0,0,0,461
1808.000000,829,1,400,0,3,150.8799,32.8690,7994768,7994816,897.0819,0,0,0,461
1808.000000,852,1,400,0,3,64.7032,35.4375,7994768,7994816,983.2586,0,0,0,461
1808.000000,842,1,449,0,2,511.5670,36.6785,7994773,7994826,28.8681,0,0,0,24660
1808.000000,844,1,449,0,2,151.3450,38.7123,7994773,7994808,389.0901,0,0,0,24660
1808.000000,765,1,450,0,1,382.3748,38.6351,7994768,7994816,179.3720,0,0,0,562
1808.000000,773,1,450,0,1,266.2724,37.3810,7994768,7994816,295.4743,0,0,0,562
1808.000000,755,1,450,0,2,360.3788,36.4054,7994785,7994816,202.3067,0,0,0,562
1808.000000,807,1,450,0,2,259.2917,34.0509,7994783,7994816,303.3938,0,0,0,562
1808.000000,811,1,457,0,1,753.6398,39.2794,7994773,7994812,11.0803,0,0,0,-1
1808.000000,838,1,458,0,1,336.0170,0.0000,7994779,7994816,4.9232,0,1,1,450
1808.000000,813,1,461,0,1,829.1149,0.0000,7994768,7994816,4.9219,0,0,1,569
1808.000000,799,1,461,0,2,829.1119,0.0000,7994768,7994816,4.9249,0,0,1,569
1808.000000,780,1,462,0,2,306.4291,38.2060,7994773,7994826,173.8007,0,0,0,7602953
1808.000000,785,1,462,0,2,26.7792,33.7346,7994773,7994826,453.4507,0,0,0,7602953
1808.000000,782,1,462,0,3,251.1965,38.9260,7994773,7994826,236.9106,0,0,0,7602953
1808.000000,783,1,462,0,3,22.9581,35.4780,7994773,7994826,465.1491,0,0,0,7602953
1808.000000,847,1,464,0,2,561.9889,24.9584,7994771,7994808,78.8612,0,1,0,7602953
1808.000000,851,1,563,0,3,79.2158,37.3547,7994773,7994826,482.8847,0,0,0,449
1808.000000,830,1,567,0,1,263.0586,36.0425,7994783,7994820,59.8880,0,0,0,-1
1808.000000,856,1,580,0,1,31.2791,45.4310,7994777,7994797,291.6564,0,0,0,569
1808.000000,853,1,655,0,1,308.3727,32.3964,7994783,7994820,22.5940,0,0,0,567
1808.000000,855,1,655,0,1,119.3925,29.6456,7994783,7994820,211.5742,0,0,0,567
1808.000000,833,1,22208,0,2,227.9578,2.0864,7994781,7994814,2.4743,0,0,1,460
1808.000000,841,1,22208,0,2,204.3661,0.0000,7994781,7994814,26.0660,0,0,1,460
1808.000000,843,1,22208,0,2,182.7364,0.0000,7994781,7994814,47.6956,0,0,1,460
1808.000000,825,1,22208,0,3,227.9878,2.1206,7994781,7994814,2.4442,0,0,1,460
1808.000000,834,1,22208,0,3,198.7810,0.0000,7994781,7994814,31.6511,0,0,1,460
1808.000000,848,1,22211,0,2,158.5334,1.9991,7994787,7994824,2.5768,0,0,1,459
1808.000000,849,1,22211,0,2,128.1057,0.0000,7994787,7994824,33.0045,0,0,1,459
1808.000000,845,1,22211,0,3,158.5703,2.0342,7994787,7994824,2.5399,0,0,1,459
1808.000000,850,1,22211,0,3,139.6135,0.0000,7994787,7994824,21.4966,0,0,1,459
1808.000000,854,1,22211,0,4,81.6761,35.6474,7994787,7994826,79.4341,1,0,0,7686011
1808.000000,814,1,24660,0,1,351.6521,1.1183,7994773,7994826,5.6876,0,0,0,568
1808.000000,817,1,24660,0,1,318.7248,6.6569,7994773,7994826,38.6149,0,0,0,568
1808.000000,823,1,24660,0,1,205.9408,28.4513,7994773,7994826,151.3990,0,0,0,568
1808.000000,839,1,24660,0,1,129.9260,33.1137,7994773,7994826,227.4138,0,0,0,568
1808.000000,815,1,24660,0,2,350.2484,2.6851,7994773,7994826,7.0913,0,0,0,568
1808.000000,816,1,24660,0,2,311.4341,10.7056,7994773,7994826,45.9056,0,0,0,568
1808.000000,820,1,24660,0,2,193.3207,30.9612,7994773,7994826,164.0190,0,0,0,568
1808.000000,840,1,24680,0,1,515.9464,0.0000,7994775,7994812,4.9232,0,0,1,452
1808.000000,789,1,7686011,0,1,465.8971,33.6076,7994773,7994826,50.1120,0,0,0,462
1808.000000,803,1,7686011,0,1,380.5954,33.5894,7994773,7994826,135.4137,0,0,0,462
1808.000000,808,1,7686011,0,1,301.5156,32.9394,7994773,7994826,214.4935,0,0,0,462
1808.000000,787,1,7686011,0,2,436.3189,34.3005,7994773,7994826,79.6902,0,0,0,462
1808.000000,801,1,7686011,0,2,338.8515,34.2345,7994773,7994826,177.1576,0,0,0,462
1812.000000,826,1,400,0,2,462.3943,37.4283,7994768,7994816,585.5676,0,0,0,461
1812.000000,832,1,400,0,2,347.8955,34.1734,7994768,7994816,700.0664,0,0,0,461
1812.000000,852,1,400,0,2,262.6326,34.2854,7994768,7994816,785.3292,0,0,0,461
1812.000000,819,1,400,0,3,414.8891,31.2414,7994768,7994816,633.0727,0,0,0,461
1812.000000,829,1,400,0,3,338.7805,31.5250,7994768,7994816,709.1813,0,0,0,461
1812.000000,844,1,449,0,2,378.4551,38.7123,7994773,7994808,161.9800,0,0,0,24660
1812.000000,773,1,450,0,1,488.7456,38.1007,7994768,7994816,73.0012,0,0,0,562
1812.000000,807,1,450,0,2,459.9204,34.2339,7994783,7994816,102.7650,0,0,0,562
1812.000000,838,1,458,0,1,336.0170,0.0000,7994779,7994816,4.9232,0,1,1,450
1812.000000,813,1,461,0,1,829.1149,0.0000,7994768,7994816,4.9219,0,0,1,569
1812.000000,799,1,461,0,2,829.1119,0.0000,7994768,7994816,4.9249,0,0,1,569
1812.000000,785,1,462,0,2,224.6872,33.7346,7994773,7994826,255.5426,0,0,0,7602953
1812.000000,789,1,462,0,2,126.0564,33.6085,7994773,7994826,354.1735,0,0,0,7602953
1812.000000,803,1,462,0,2,40.6889,33.6008,7994773,7994826,439.5409,0,0,0,7602953
