Time,VehicleID,Type,SectionID,SegmentID,NumLane,CurPosition,CurrentSpeed(mph), CentroidOrigin, CentroidDest,Distance2End,statusLeft,statusRight,statusStop,nextSection
14404.000000,13461,1,338,0,1,211.6949,30.6644,7994768,7994816,101.6639,0,0,0,400
14404.000000,13446,1,338,0,2,308.4374,0.0000,7994768,7994816,4.9213,0,0,1,400
14404.000000,13412,1,400,0,2,1043.0292,0.0000,7994768,7994816,4.9326,0,0,1,461
14404.000000,13430,1,400,0,2,1018.9857,0.0000,7994768,7994816,28.9761,0,0,1,461
14404.000000,13407,1,400,0,3,1043.0353,0.0000,7994768,7994816,4.9265,0,0,1,461
14404.000000,13415,1,400,0,3,1016.7581,0.0000,7994768,7994816,31.2038,0,0,1,461
14404.000000,13457,1,451,0,1,58.1448,41.4137,7994797,7994822,465.9555,0,0,0,24683
14404.000000,13439,1,451,0,2,393.7288,36.6575,7994779,7994822,130.0552,0,0,0,24683
14404.000000,13450,1,451,0,2,27.1674,45.2012,7994779,7994822,496.6165,0,0,0,24683
14404.000000,13462,1,458,0,1,204.9266,43.3194,7994797,7994822,136.0136,0,0,0,451
14404.000000,13421,1,460,0,1,228.6661,44.1652,7994781,7994814,84.1568,0,0,0,-1
14404.000000,13431,1,460,0,1,136.0650,40.7594,7994781,7994814,176.7578,0,0,0,-1
14404.000000,13426,1,460,0,2,227.5798,42.3472,7994781,7994814,85.2431,0,0,0,-1
14404.000000,13438,1,460,0,2,133.3976,38.6967,7994781,7994814,179.4253,0,0,0,-1
14404.000000,13455,1,460,0,2,10.2431,40.0436,7994781,7994814,302.5798,0,0,0,-1
14404.000000,13436,1,462,0,2,277.6851,32.7565,7994787,7994826,202.5447,0,0,0,7602953
14404.000000,13441,1,462,0,2,199.6934,32.5022,7994787,7994826,280.5365,0,0,0,7602953
14404.000000,13433,1,462,0,3,417.7101,25.7258,7994787,7994826,70.3970,0,0,0,7602953
14404.000000,13429,1,462,0,3,344.6804,31.3272,7994787,7994808,143.4267,0,0,0,7602953
14404.000000,13437,1,462,0,3,263.0293,30.8644,7994787,7994808,225.0778,0,0,0,7602953
14404.000000,13456,1,506,0,1,493.1963,38.5970,7994773,7994826,99.8304,0,0,0,563
14404.000000,13468,1,531,0,1,5.7474,42.2063,7994775,7994812,180.4208,0,0,0,24680
14404.000000,13467,1,531,0,2,51.8697,41.8013,7994775,7994797,134.2985,0,0,0,24680
14404.000000,13442,1,563,0,2,555.7821,0.0000,7994773,7994826,4.9432,0,0,1,449
14404.000000,13443,1,563,0,2,529.8510,0.5597,7994773,7994826,30.8742,0,0,0,449
14404.000000,13451,1,563,0,2,169.3687,35.5343,7994773,7994826,391.3566,0,0,0,449
14404.000000,13453,1,563,0,2,15.4530,34.2097,7994773,7994826,545.2723,0,0,0,449
14404.000000,13434,1,563,0,3,557.1790,0.0000,7994773,7994826,4.9215,0,0,1,449
14404.000000,13444,1,563,0,3,528.6621,6.0816,7994773,7994826,33.4384,0,0,0,449
14404.000000,13452,1,563,0,3,145.2589,38.2064,7994773,7994826,416.8416,0,0,0,449
14404.000000,13440,1,563,0,4,558.5533,0.0000,7994773,7994812,4.9225,1,0,0,452
14404.000000,13447,1,563,0,4,482.9269,19.6835,7994773,7994812,80.5489,1,0,0,452
14404.000000,13402,1,568,0,2,493.1632,35.0036,7994773,7994826,340.9096,0,0,0,7686011
14404.000000,13422,1,568,0,2,390.1867,34.9808,7994773,7994826,443.8862,0,0,0,7686011
14404.000000,13416,1,568,0,3,829.1491,0.0000,7994783,7994826,4.9238,0,0,1,7686011
14404.000000,13432,1,568,0,3,404.4864,35.2071,7994800,7994814,429.5865,0,0,0,460
14404.000000,13459,1,580,0,2,270.6059,20.3213,7994777,7994816,52.3296,1,0,0,569
14404.000000,13464,1,631,0,1,122.3950,42.1422,7994779,7994816,639.2215,0,0,0,458
14404.000000,13448,1,21931,0,2,1717.5776,50.6900,7994785,7994814,228.7625,0,0,0,400
14404.000000,13449,1,21931,0,3,1579.2297,54.8590,7994785,7994810,359.1361,0,0,0,399
14404.000000,13458,1,21931,0,3,692.2999,57.8742,7994785,7994810,1246.0659,0,0,0,399
14404.000000,13460,1,21931,0,4,314.7596,57.1524,7994785,7994816,1615.6320,0,0,0,400
14404.000000,13463,1,22211,0,4,56.6420,41.3832,7994787,7994826,104.4682,0,0,0,7686011
14404.000000,13465,1,22215,0,1,81.7140,49.8019,7994787,7994824,38.1528,0,0,0,22211
14404.000000,13466,1,22215,0,2,60.0260,47.4882,7994787,7994802,59.8408,0,0,0,22211
14408.000000,13461,1,338,0,1,305.6310,3.2634,7994768,7994816,7.7277,0,0,0,400
14408.000000,13446,1,338,0,2,308.4374,0.0000,7994768,7994816,4.9213,0,0,1,400
14408.000000,13412,1,400,0,2,1043.0292,0.0000,7994768,7994816,4.9326,0,0,1,461
14408.000000,13430,1,400,0,2,1018.9857,0.0000,7994768,7994816,28.9761,0,0,1,461
14408.000000,13407,1,400,0,3,1043.0353,0.0000,7994768,7994816,4.9265,0,0,1,461
14408.000000,13415,1,400,0,3,1016.7581,0.0000,7994768,7994816,31.2038,0,0,1,461
14408.000000,13457,1,451,0,1,301.1029,41.4137,7994797,7994822,222.9974,0,0,0,24683
14408.000000,13462,1,451,0,1,19.9671,43.3194,7994797,7994822,504.1332,0,0,0,24683
14408.000000,13450,1,451,0,2,292.3458,45.2012,7994779,7994822,231.4382,0,0,0,24683
14408.000000,13455,1,460,0,2,260.2848,44.4213,7994781,7994814,52.5380,0,0,0,-1
14408.000000,13436,1,462,0,2,443.2230,16.4198,7994787,7994826,37.0069,0,0,0,7602953
14408.000000,13441,1,462,0,2,380.9883,23.3584,7994787,7994826,99.2416,0,0,0,7602953
14408.000000,13433,1,462,0,3,482.8448,0.5431,7994787,7994826,5.2623,0,0,0,7602953
14408.000000,13429,1,462,0,3,449.3542,6.4151,7994787,7994808,38.7529,0,0,0,7602953
14408.000000,13437,1,462,0,3,403.5079,13.9135,7994787,7994808,84.5992,0,0,0,7602953
14408.000000,13442,1,563,0,2,555.7821,0.0000,7994773,7994826,4.9432,0,0,1,449
14408.000000,13443,1,563,0,2,530.1794,0.0000,7994773,7994826,30.5459,0,0,1,449
14408.000000,13451,1,563,0,2,377.8348,35.5343,7994773,7994826,182.8905,0,0,0,449
14408.000000,13453,1,563,0,2,216.1478,34.2097,7994773,7994826,344.5774,0,0,0,449
14408.000000,13456,1,563,0,2,39.2005,38.5970,7994773,7994826,521.5248,0,0,0,449
14408.000000,13434,1,563,0,3,557.1790,0.0000,7994773,7994826,4.9215,0,0,1,449
