Time,VehicleID,Type,SectionID,SegmentID,NumLane,CurPosition,CurrentSpeed(mph), CentroidOrigin, CentroidDest,Distance2End,statusLeft,statusRight,statusStop,nextSection
9004.000000,8147,1,338,0,1,308.4374,0.0000,7994768,7994816,4.9213,0,0,1,400
9004.000000,8168,1,338,0,1,285.8654,0.0000,7994768,7994816,27.4933,0,0,1,400
9004.000000,8174,1,338,0,1,6.7861,45.9980,7994768,7994816,306.5726,0,0,0,400
9004.000000,8160,1,338,0,2,308.4370,0.0000,7994768,7994816,4.9217,0,0,1,400
9004.000000,8144,1,338,0,3,308.4374,0.0000,7994768,7994810,4.9213,1,0,1,399
9004.000000,8119,1,402,0,2,443.9957,42.7714,7994785,7994810,231.6642,0,0,0,-1
9004.000000,8137,1,402,0,2,260.2736,38.7493,7994785,7994810,415.3863,0,0,0,-1
9004.000000,8121,1,402,0,3,299.0930,37.2783,7994785,7994810,386.1403,0,0,0,-1
9004.000000,8145,1,449,0,1,500.3261,33.1650,7994773,7994826,40.1090,0,0,0,24660
9004.000000,8157,1,449,0,1,325.0257,34.6756,7994773,7994826,215.4094,0,0,0,24660
9004.000000,8158,1,449,0,1,222.1605,35.1319,7994773,7994826,318.2746,0,0,0,24660
9004.000000,8151,1,449,0,2,481.5399,33.2370,7994773,7994826,58.8952,0,0,0,24660
9004.000000,8146,1,449,0,2,421.7418,28.7532,7994773,7994826,118.6933,0,0,0,24660
9004.000000,8149,1,449,0,2,351.4205,28.9091,7994773,7994826,189.0146,0,0,0,24660
9004.000000,8156,1,449,0,2,284.4158,28.4018,7994773,7994826,256.0193,0,0,0,24660
9004.000000,8117,1,457,0,1,635.6131,39.4168,7994773,7994812,129.1071,0,0,0,-1
9004.000000,8099,1,457,0,1,516.5583,39.7144,7994793,7994812,248.1619,0,0,0,-1
9004.000000,8135,1,457,0,1,367.1465,40.7801,7994773,7994812,397.5737,0,0,0,-1
9004.000000,8138,1,457,0,1,267.0916,39.7837,7994773,7994812,497.6286,0,0,0,-1
9004.000000,8155,1,458,0,1,336.0021,0.0000,7994779,7994822,4.9380,0,0,1,451
9004.000000,8164,1,458,0,1,298.1836,7.4388,7994779,7994816,42.7566,0,1,0,450
9004.000000,8154,1,458,0,2,332.7313,0.0000,7994779,7994822,4.9354,0,0,1,451
9004.000000,8035,1,462,0,2,475.3083,0.0000,7994773,7994826,4.9216,0,0,1,7602953
9004.000000,8083,1,462,0,2,447.4424,0.0000,7994773,7994826,32.7874,0,0,1,7602953
