DetectorAimsunID,DetectorFieldID,Time(sec),flow(vph),occupancy(%)
919,100003,600,18,17.9373
920,100002,600,72,51.1301
1175,100004,600,18,12.3632
1178,100001,600,114,1.4634
919,100003,1200,18,32.1939
920,100002,1200,78,64.6176
1175,100004,1200,12,11.8731
1178,100001,1200,108,1.5090
919,100003,1800,12,16.9117
920,100002,1800,120,72.4551
1175,100004,1800,6,0.4422
1178,100001,1800,132,1.7798
919,100003,2400,48,22.2154
920,100002,2400,228,82.7428
1175,100004,2400,60,27.6879
1178,100001,2400,348,4.5590
919,100003,3000,30,33.3484
920,100002,3000,168,67.6402
1175,100004,3000,48,52.2416
1178,100001,3000,240,3.1107
919,100003,3600,36,28.8647
920,100002,3600,168,70.0053
1175,100004,3600,54,43.5368
1178,100001,3600,258,3.4274
919,100003,4200,48,29.8892
920,100002,4200,288,82.2977
1175,100004,4200,78,55.9062
1178,100001,4200,420,5.5918
919,100003,4800,30,24.4970
920,100002,4800,270,77.1199
1175,100004,4800,66,29.2723
1178,100001,4800,354,4.6404
919,100003,5400,66,59.1005
920,100002,5400,258,71.5593
1175,100004,5400,108,60.5375
1178,100001,5400,444,5.7757
919,100003,6000,60,31.7127
920,100002,6000,420,87.6226
1175,100004,6000,108,45.5183
1178,100001,6000,606,7.9461
919,100003,6600,48,38.3506
920,100002,6600,360,83.7641
1175,100004,6600,60,37.7690
1178,100001,6600,462,6.1660
919,100003,7200,54,31.0388
920,100002,7200,408,84.3364
1175,100004,7200,90,43.5637
1178,100001,7200,546,7.3120
919,100003,7800,78,41.7797
920,100002,7800,486,87.2225
1175,100004,7800,108,54.1144
1178,100001,7800,696,9.7411
919,100003,8400,84,56.1188
920,100002,8400,438,79.4270
1175,100004,8400,120,60.0681
1178,100001,8400,612,8.0939
919,100003,9000,54,41.9584
920,100002,9000,474,82.1865
1175,100004,9000,102,44.7353
1178,100001,9000,618,8.3856
919,100003,9600,60,31.6839
920,100002,9600,516,83.6776
1175,100004,9600,144,42.6450
1178,100001,9600,804,18.8142
919,100003,10200,90,43.2394
920,100002,10200,576,84.3997
1175,100004,10200,180,49.0667
1178,100001,10200,804,15.2490
919,100003,10800,90,44.0068
920,100002,10800,528,87.5231
1175,100004,10800,150,64.9015
1178,100001,10800,732,9.8739
919,100003,11400,108,45.2280
920,100002,11400,654,85.4493
1175,100004,11400,198,59.5340
1178,100001,11400,978,18.3267
919,100003,12000,108,44.5857
920,100002,12000,642,89.9886
1175,100004,12000,204,58.9929
1178,100001,12000,972,25.7490
919,100003,12600,108,41.0391
920,100002,12600,654,88.0008
1175,100004,12600,210,55.8361
1178,100001,12600,960,17.8349
919,100003,13200,66,36.0454
920,100002,13200,798,84.3251
1175,100004,13200,204,43.5015
1178,100001,13200,1062,23.0072
919,100003,13800,108,39.5518
920,100002,13800,858,89.2383
1175,100004,13800,198,49.6048
1178,100001,13800,1182,35.5282
919,100003,14400,78,27.7828
920,100002,14400,954,94.0829
1175,100004,14400,168,40.6148
1178,100001,14400,1194,47.9630
919,100003,15000,162,61.3813
920,100002,15000,912,93.0447
1175,100004,15000,252,71.5741
1178,100001,15000,1380,52.0207
919,100003,15600,126,49.9609
920,100002,15600,966,94.0538
1175,100004,15600,180,55.1358
1178,100001,15600,1266,63.6760
919,100003,16200,192,57.7874
920,100002,16200,930,90.6509
1175,100004,16200,258,65.4080
1178,100001,16200,1326,49.7820
919,100003,16800,204,67.8480
920,100002,16800,1014,93.9198
1175,100004,16800,246,70.1723
1178,100001,16800,1452,71.6744
919,100003,17400,126,34.9813
920,100002,17400,978,94.2270
1175,100004,17400,276,49.6675
1178,100001,17400,1404,71.3934
919,100003,18000,96,45.4276
920,100002,18000,954,93.9704
1175,100004,18000,216,57.9680
1178,100001,18000,1314,71.3009
919,100003,18600,216,71.9257
920,100002,18600,960,93.8620
1175,100004,18600,258,79.3816
1178,100001,18600,1488,72.1498
919,100003,19200,222,70.4898
920,100002,19200,960,93.8881
1175,100004,19200,288,78.8482
1178,100001,19200,1428,72.3146
919,100003,19800,150,47.4742
920,100002,19800,966,94.5197
1175,100004,19800,264,60.7871
1178,100001,19800,1362,72.9225
919,100003,20400,240,78.5208
920,100002,20400,1008,94.0422
1175,100004,20400,306,81.8597
1178,100001,20400,1494,72.6767
919,100003,21000,246,82.7674
920,100002,21000,996,93.5993
1175,100004,21000,270,86.9279
1178,100001,21000,1518,71.9604
919,100003,21600,192,64.4915
920,100002,21600,996,93.6272
1175,100004,21600,276,72.7410
1178,100001,21600,1476,71.2179
919,100003,22200,174,56.7536
920,100002,22200,966,94.3449
1175,100004,22200,288,64.7035
1178,100001,22200,1458,71.2129
919,100003,22800,240,93.2862
920,100002,22800,954,93.8493
1175,100004,22800,270,94.0935
1178,100001,22800,1518,73.1258
919,100003,23400,210,67.5874
920,100002,23400,960,94.3254
1175,100004,23400,276,73.2482
1178,100001,23400,1446,72.7369
919,100003,24000,264,95.1674
920,100002,24000,948,94.2977
1175,100004,24000,246,95.6859
1178,100001,24000,1578,76.4230
919,100003,24600,330,94.1597
920,100002,24600,930,92.8723
1175,100004,24600,384,93.7566
1178,100001,24600,1560,87.2532
919,100003,25200,264,96.5823
920,100002,25200,918,89.8827
1175,100004,25200,258,96.4686
1178,100001,25200,1404,92.7871
919,100003,25800,306,93.6645
920,100002,25800,936,91.1147
1175,100004,25800,330,94.6763
1178,100001,25800,1602,90.7901
919,100003,26400,294,94.6425
920,100002,26400,936,90.9976
1175,100004,26400,294,95.1457
1178,100001,26400,1452,85.8807
919,100003,27000,276,96.9121
920,100002,27000,930,92.7198
1175,100004,27000,294,97.0333
1178,100001,27000,1608,82.8622
919,100003,27600,282,94.5743
920,100002,27600,936,94.0113
1175,100004,27600,318,94.5812
1178,100001,27600,1572,88.9679
919,100003,28200,270,96.1030
920,100002,28200,804,87.3246
1175,100004,28200,288,95.4789
1178,100001,28200,1380,92.6130
919,100003,28800,282,94.7264
920,100002,28800,816,88.9656
1175,100004,28800,324,95.2570
1178,100001,28800,1422,92.9121
