DetectorAimsunID,DetectorFieldID,Time(sec),flow(vph),occupancy(%)
919,100003,600,18,17.9373
920,100002,600,72,50.8634
1175,100004,600,18,12.3632
1178,100001,600,96,1.2319
1407,100000,600,18,0.2315
919,100003,1200,18,32.1939
920,100002,1200,78,64.7510
1175,100004,1200,12,11.8731
1178,100001,1200,96,1.3562
1407,100000,1200,12,0.1528
919,100003,1800,12,16.9117
920,100002,1800,120,72.3215
1175,100004,1800,6,0.4422
1178,100001,1800,126,1.7102
1407,100000,1800,6,0.0696
919,100003,2400,48,22.2154
920,100002,2400,228,82.2055
1175,100004,2400,60,27.7406
1178,100001,2400,270,3.5663
1407,100000,2400,78,1.0240
919,100003,3000,30,33.3484
920,100002,3000,168,67.3669
1175,100004,3000,48,52.2416
1178,100001,3000,174,2.2509
1407,100000,3000,66,0.8598
919,100003,3600,36,28.8647
920,100002,3600,168,69.4712
1175,100004,3600,54,43.5368
1178,100001,3600,192,2.5373
1407,100000,3600,66,0.8902
919,100003,4200,48,29.8892
920,100002,4200,288,82.9954
1175,100004,4200,78,55.9062
1178,100001,4200,318,4.3307
1407,100000,4200,102,1.3365
919,100003,4800,30,21.4222
920,100002,4800,270,86.6919
1175,100004,4800,66,24.6502
1178,100001,4800,282,3.7088
1407,100000,4800,72,0.9316
919,100003,5400,84,43.8473
920,100002,5400,246,79.8200
1175,100004,5400,96,36.6399
1178,100001,5400,324,4.3199
1407,100000,5400,120,1.5360
919,100003,6000,48,34.8993
920,100002,6000,432,87.5541
1175,100004,6000,120,55.6932
1178,100001,6000,462,6.1695
1407,100000,6000,144,1.9135
919,100003,6600,48,21.8958
920,100002,6600,384,83.6695
1175,100004,6600,60,43.4106
1178,100001,6600,384,5.1301
1407,100000,6600,78,1.0713
919,100003,7200,48,31.5841
920,100002,7200,390,88.3303
1175,100004,7200,96,42.0069
1178,100001,7200,414,5.6198
1407,100000,7200,132,1.7079
919,100003,7800,78,31.1378
920,100002,7800,504,87.5216
1175,100004,7800,108,54.4820
1178,100001,7800,528,7.1591
1407,100000,7800,168,2.2083
919,100003,8400,96,52.0072
920,100002,8400,402,84.6999
1175,100004,8400,108,50.2848
1178,100001,8400,480,6.8001
1407,100000,8400,132,1.6887
919,100003,9000,54,44.8507
920,100002,9000,492,84.1677
1175,100004,9000,102,41.9136
1178,100001,9000,504,6.8847
1407,100000,9000,120,1.5814
919,100003,9600,60,31.5506
920,100002,9600,492,85.9505
1175,100004,9600,144,42.6487
1178,100001,9600,594,20.7442
1407,100000,9600,192,2.5488
919,100003,10200,90,44.6848
920,100002,10200,624,96.2326
1175,100004,10200,180,51.0791
1178,100001,10200,570,48.1124
1407,100000,10200,252,3.3805
919,100003,10800,84,48.3661
920,100002,10800,486,85.5287
1175,100004,10800,156,59.4304
1178,100001,10800,516,8.2174
1407,100000,10800,216,2.8420
919,100003,11400,120,55.8401
920,100002,11400,522,91.8258
1175,100004,11400,186,61.4914
1178,100001,11400,618,32.8060
1407,100000,11400,276,3.7018
919,100003,12000,72,29.1262
920,100002,12000,540,97.8933
1175,100004,12000,240,45.9818
1178,100001,12000,540,84.0759
1407,100000,12000,312,4.1323
919,100003,12600,102,38.6926
920,100002,12600,546,97.9973
1175,100004,12600,198,56.1231
1178,100001,12600,546,83.7512
1407,100000,12600,318,4.2726
919,100003,13200,96,38.5627
920,100002,13200,552,98.2298
1175,100004,13200,192,50.5804
1178,100001,13200,546,83.3950
1407,100000,13200,276,3.6202
919,100003,13800,96,39.6243
920,100002,13800,822,96.0810
1175,100004,13800,210,48.5610
1178,100001,13800,780,76.8273
1407,100000,13800,306,4.0242
919,100003,14400,72,38.0437
920,100002,14400,942,96.4203
1175,100004,14400,174,49.5125
1178,100001,14400,924,73.3707
1407,100000,14400,246,3.2559
919,100003,15000,174,65.1372
920,100002,15000,984,96.2405
1175,100004,15000,246,68.8044
1178,100001,15000,990,70.4379
1407,100000,15000,414,5.6205
919,100003,15600,108,41.0970
920,100002,15600,804,97.3283
1175,100004,15600,222,52.0290
1178,100001,15600,840,75.8409
1407,100000,15600,336,4.5596
919,100003,16200,180,62.7244
920,100002,16200,558,98.0076
1175,100004,16200,240,71.0234
1178,100001,16200,582,83.0076
1407,100000,16200,426,5.5815
919,100003,16800,210,61.9266
920,100002,16800,534,98.1666
1175,100004,16800,240,67.9325
1178,100001,16800,534,84.0248
1407,100000,16800,444,5.9285
919,100003,17400,150,62.1436
920,100002,17400,540,98.2701
1175,100004,17400,240,67.0494
1178,100001,17400,546,83.9156
1407,100000,17400,402,5.3250
919,100003,18000,114,40.4360
920,100002,18000,582,98.1059
1175,100004,18000,210,54.1137
1178,100001,18000,570,83.3262
1407,100000,18000,318,4.2381
919,100003,18600,144,59.5699
920,100002,18600,870,96.2494
1175,100004,18600,348,68.2275
1178,100001,18600,822,75.4247
1407,100000,18600,522,7.0235
919,100003,19200,204,69.4060
920,100002,19200,1014,95.4598
1175,100004,19200,300,73.6542
1178,100001,19200,1002,69.9662
1407,100000,19200,474,6.6584
919,100003,19800,138,53.1051
920,100002,19800,990,96.2065
1175,100004,19800,264,64.2325
1178,100001,19800,990,70.6216
1407,100000,19800,408,5.4392
919,100003,20400,240,57.2215
920,100002,20400,750,97.7013
1175,100004,20400,306,68.5182
1178,100001,20400,804,76.5433
1407,100000,20400,534,7.0647
919,100003,21000,228,85.7390
920,100002,21000,540,97.9868
1175,100004,21000,264,88.1129
1178,100001,21000,552,83.8969
1407,100000,21000,516,6.8224
919,100003,21600,198,69.2470
920,100002,21600,534,97.8403
1175,100004,21600,288,73.8710
1178,100001,21600,534,84.0694
1407,100000,21600,474,6.3544
919,100003,22200,192,71.9447
920,100002,22200,534,97.9864
1175,100004,22200,216,78.8459
1178,100001,22200,534,84.3656
1407,100000,22200,462,6.2757
919,100003,22800,270,69.1429
920,100002,22800,618,97.8426
1175,100004,22800,330,75.2495
1178,100001,22800,606,82.1276
1407,100000,22800,534,7.1965
919,100003,23400,192,70.0971
920,100002,23400,894,95.4509
1175,100004,23400,258,75.8873
1178,100001,23400,858,74.6453
1407,100000,23400,480,6.5358
919,100003,24000,324,83.4829
920,100002,24000,978,96.5883
1175,100004,24000,336,82.1891
1178,100001,24000,966,71.7550
1407,100000,24000,672,15.5717
919,100003,24600,300,95.6346
920,100002,24600,948,95.4061
1175,100004,24600,294,96.0159
1178,100001,24600,960,71.9326
1407,100000,24600,582,52.8684
919,100003,25200,276,96.0725
920,100002,25200,678,97.2249
1175,100004,25200,294,95.9306
1178,100001,25200,726,79.6481
1407,100000,25200,666,75.7288
919,100003,25800,300,95.2444
920,100002,25800,552,97.2282
1175,100004,25800,312,95.4802
1178,100001,25800,564,84.0860
1407,100000,25800,546,56.9645
919,100003,26400,276,94.5252
920,100002,26400,540,97.3093
1175,100004,26400,258,94.9364
1178,100001,26400,534,84.3109
1407,100000,26400,546,20.8188
919,100003,27000,306,93.7117
920,100002,27000,540,97.9237
1175,100004,27000,318,94.6965
1178,100001,27000,540,84.1856
1407,100000,27000,600,25.4142
919,100003,27600,300,91.2689
920,100002,27600,684,97.0908
1175,100004,27600,306,95.0160
1178,100001,27600,678,79.9152
1407,100000,27600,606,53.4790
919,100003,28200,330,95.2730
920,100002,28200,774,86.4326
1175,100004,28200,312,95.6097
1178,100001,28200,786,77.7327
1407,100000,28200,558,83.7871
