DetectorAimsunID,DetectorFieldID,Time(sec),flow(vph),occupancy(%)
919,100003,600,18,17.9373
920,100002,600,72,51.1301
1175,100004,600,18,12.3632
1178,100001,600,96,1.2319
1407,100000,600,18,0.2315
919,100003,1200,18,32.1939
920,100002,1200,78,64.7510
1175,100004,1200,12,12.0065
1178,100001,1200,96,1.3562
1407,100000,1200,12,0.1528
919,100003,1800,12,16.9117
920,100002,1800,120,72.4549
1175,100004,1800,6,0.4422
1178,100001,1800,126,1.7102
1407,100000,1800,6,0.0696
919,100003,2400,48,22.2154
920,100002,2400,228,82.7406
1175,100004,2400,60,27.7406
1178,100001,2400,270,3.5663
1407,100000,2400,78,1.0240
919,100003,3000,30,33.3484
920,100002,3000,168,67.6388
1175,100004,3000,48,52.2416
1178,100001,3000,174,2.2509
1407,100000,3000,66,0.8598
919,100003,3600,36,28.8647
920,100002,3600,168,70.0045
1175,100004,3600,54,43.5368
1178,100001,3600,192,2.5373
1407,100000,3600,66,0.8902
919,100003,4200,48,29.8892
920,100002,4200,288,82.2926
1175,100004,4200,78,55.9062
1178,100001,4200,318,4.3307
1407,100000,4200,102,1.3365
919,100003,4800,30,24.4970
920,100002,4800,270,77.1180
1175,100004,4800,66,29.2723
1178,100001,4800,288,3.7872
1407,100000,4800,66,0.8532
919,100003,5400,66,59.1005
920,100002,5400,258,71.5625
1175,100004,5400,108,60.5375
1178,100001,5400,324,4.3365
1407,100000,5400,120,1.5293
919,100003,6000,60,31.7127
920,100002,6000,426,87.6536
1175,100004,6000,108,45.6516
1178,100001,6000,462,6.1867
1407,100000,6000,144,1.8988
919,100003,6600,48,38.3506
920,100002,6600,360,83.8217
1175,100004,6600,60,37.9023
1178,100001,6600,384,5.2015
1407,100000,6600,78,1.0317
919,100003,7200,54,31.0388
920,100002,7200,408,84.4666
1175,100004,7200,90,43.5637
1178,100001,7200,420,5.7441
1407,100000,7200,126,1.6457
919,100003,7800,78,41.7797
920,100002,7800,486,87.4505
1175,100004,7800,108,54.2478
1178,100001,7800,528,7.6580
1407,100000,7800,168,2.2103
919,100003,8400,84,56.1188
920,100002,8400,438,79.4245
1175,100004,8400,120,60.0681
1178,100001,8400,486,6.5271
1407,100000,8400,126,1.6158
919,100003,9000,54,42.2251
920,100002,9000,474,82.4437
1175,100004,9000,102,44.8686
1178,100001,9000,504,6.8894
1407,100000,9000,120,1.5814
919,100003,9600,60,31.3612
920,100002,9600,492,91.8905
1175,100004,9600,144,42.1536
1178,100001,9600,594,27.4368
1407,100000,9600,192,2.5458
919,100003,10200,90,43.0509
920,100002,10200,600,88.8590
1175,100004,10200,180,54.8229
1178,100001,10200,606,16.5479
1407,100000,10200,216,2.8836
919,100003,10800,84,46.4645
920,100002,10800,486,88.6743
1175,100004,10800,150,56.4407
1178,100001,10800,522,7.2806
1407,100000,10800,210,2.7535
919,100003,11400,120,47.4855
920,100002,11400,606,88.9434
1175,100004,11400,192,52.6479
1178,100001,11400,696,28.6466
1407,100000,11400,258,3.5878
919,100003,12000,102,49.0621
920,100002,12000,768,87.6117
1175,100004,12000,210,54.3981
1178,100001,12000,714,29.7142
1407,100000,12000,288,3.8460
919,100003,12600,108,49.7580
920,100002,12600,618,94.5376
1175,100004,12600,204,55.7171
1178,100001,12600,642,51.2844
1407,100000,12600,312,4.2366
919,100003,13200,84,40.9099
920,100002,13200,648,94.6889
1175,100004,13200,192,51.9242
1178,100001,13200,702,51.7001
1407,100000,13200,276,3.6497
919,100003,13800,96,35.2690
920,100002,13800,774,96.0950
1175,100004,13800,210,42.5521
1178,100001,13800,774,75.7451
1407,100000,13800,306,4.0500
919,100003,14400,78,41.5424
920,100002,14400,840,95.9790
1175,100004,14400,168,53.6809
1178,100001,14400,792,75.9785
1407,100000,14400,246,3.2559
919,100003,15000,150,46.8197
920,100002,15000,828,95.7084
1175,100004,15000,270,53.5114
1178,100001,15000,822,75.1407
1407,100000,15000,414,5.6205
919,100003,15600,120,51.0812
920,100002,15600,798,96.4097
1175,100004,15600,210,59.4655
1178,100001,15600,798,76.1622
1407,100000,15600,336,4.5596
919,100003,16200,156,49.3628
920,100002,16200,750,96.5437
1175,100004,16200,264,59.4235
1178,100001,16200,762,77.3701
1407,100000,16200,420,5.4436
919,100003,16800,216,70.7176
920,100002,16800,726,96.9654
1175,100004,16800,234,77.5696
1178,100001,16800,762,77.4314
1407,100000,16800,444,5.9285
919,100003,17400,126,49.1733
920,100002,17400,732,97.2015
1175,100004,17400,264,64.4689
1178,100001,17400,738,78.0917
1407,100000,17400,402,5.3231
919,100003,18000,108,38.3840
920,100002,18000,714,96.6496
1175,100004,18000,210,49.2115
1178,100001,18000,714,78.9902
1407,100000,18000,318,4.2381
919,100003,18600,162,59.5572
920,100002,18600,804,96.1328
1175,100004,18600,300,64.3750
1178,100001,18600,798,75.8004
1407,100000,18600,522,7.0065
919,100003,19200,246,71.2584
920,100002,19200,840,95.6310
1175,100004,19200,294,76.6446
1178,100001,19200,786,76.5238
1407,100000,19200,474,6.5203
919,100003,19800,156,45.5904
920,100002,19800,834,95.9953
1175,100004,19800,246,60.7848
1178,100001,19800,840,75.0706
1407,100000,19800,408,5.4392
919,100003,20400,246,68.3643
920,100002,20400,792,96.0739
1175,100004,20400,300,71.3140
1178,100001,20400,792,76.0603
1407,100000,20400,534,7.0647
919,100003,21000,240,77.5547
920,100002,21000,744,96.5851
1175,100004,21000,276,83.8534
1178,100001,21000,762,77.0540
1407,100000,21000,516,6.8210
919,100003,21600,192,72.5528
920,100002,21600,708,96.9069
1175,100004,21600,282,79.1025
1178,100001,21600,744,77.9015
1407,100000,21600,474,6.6365
919,100003,22200,180,67.6947
920,100002,22200,708,97.2573
1175,100004,22200,234,73.9275
1178,100001,22200,708,79.1990
1407,100000,22200,462,6.2762
919,100003,22800,270,81.4583
920,100002,22800,732,95.7716
1175,100004,22800,288,86.6255
1178,100001,22800,732,78.2342
1407,100000,22800,534,11.3905
919,100003,23400,210,64.4688
920,100002,23400,810,96.3541
1175,100004,23400,288,74.1109
1178,100001,23400,792,76.3506
1407,100000,23400,480,6.5279
919,100003,24000,276,86.9990
920,100002,24000,846,95.8458
1175,100004,24000,330,89.7455
1178,100001,24000,798,75.9516
1407,100000,24000,672,22.2183
919,100003,24600,330,95.2032
920,100002,24600,786,93.3979
1175,100004,24600,300,94.8486
1178,100001,24600,816,76.5362
1407,100000,24600,570,55.9376
919,100003,25200,246,95.6162
920,100002,25200,774,94.0747
1175,100004,25200,282,95.8323
1178,100001,25200,792,76.6638
1407,100000,25200,606,79.1547
919,100003,25800,330,94.8270
920,100002,25800,744,95.4180
1175,100004,25800,324,95.8525
1178,100001,25800,780,77.5368
1407,100000,25800,588,72.6942
919,100003,26400,294,96.4624
920,100002,26400,714,95.5321
1175,100004,26400,222,95.4081
1178,100001,26400,744,78.2234
1407,100000,26400,540,37.7375
919,100003,27000,324,90.7514
920,100002,27000,708,95.8510
1175,100004,27000,342,91.2653
1178,100001,27000,714,79.4832
1407,100000,27000,594,24.5905
919,100003,27600,264,94.9580
920,100002,27600,738,95.1214
1175,100004,27600,252,96.2804
1178,100001,27600,744,78.1464
1407,100000,27600,618,55.5612
919,100003,28200,348,95.4223
920,100002,28200,786,94.2258
1175,100004,28200,342,94.4583
1178,100001,28200,792,77.7209
1407,100000,28200,600,83.3511
919,100003,28800,276,96.1010
920,100002,28800,774,91.0269
1175,100004,28800,264,95.8719
1178,100001,28800,768,78.1246
1407,100000,28800,522,86.1642
