DetectorAimsunID,DetectorFieldID,Time(sec),flow(vph),occupancy(%)
4656,608214,300,0,0.0000
4659,608217,300,24,0.2704
4660,608223,300,12,2.8095
4662,608203,300,60,0.6194
4663,608224,300,12,0.3704
4664,608212,300,48,3.5411
4665,608204,300,60,0.5683
4666,608213,300,12,8.1768
4669,608201,300,168,1.9486
7633532,608230,300,84,29.3639
7674949,608222,300,0,0.0000
7674950,608221,300,0,0.0208
7674955,608202,300,60,1.0626
7674956,608206,300,0,0.0000
7674957,608209,300,288,39.9985
7678624,608205,300,144,1.6533
7678625,608219,300,36,0.4187
7678626,608207,300,36,0.3722
7678627,608208,300,12,0.1207
4656,608214,600,0,0.0000
4659,608217,600,36,0.4076
4660,608223,600,0,0.4659
4662,608203,600,84,0.8500
4663,608224,600,48,6.5469
4664,608212,600,120,18.3557
4665,608204,600,108,1.0243
4666,608213,600,0,0.0000
4669,608201,600,84,0.9473
7633532,608230,600,144,26.1751
7674949,608222,600,0,0.0000
7674950,608221,600,0,0.0000
7674955,608202,600,108,28.0499
7674956,608206,600,0,0.0000
7674957,608209,600,204,37.1563
7678624,608205,600,108,1.2389
7678625,608219,600,72,0.8027
7678626,608207,600,60,0.6216
7678627,608208,600,48,0.5006
4656,608214,900,0,0.0000
4659,608217,900,24,0.2815
4660,608223,900,0,0.0000
4662,608203,900,96,0.9634
4663,608224,900,24,3.1429
4664,608212,900,72,6.0352
4665,608204,900,36,0.3551
4666,608213,900,0,0.0000
4669,608201,900,120,1.3493
7633532,608230,900,144,26.7420
7674949,608222,900,0,0.0000
7674950,608221,900,0,0.0000
7674955,608202,900,36,9.1261
7674956,608206,900,0,0.0000
7674957,608209,900,240,46.2675
7678624,608205,900,132,1.4756
7678625,608219,900,12,0.1162
7678626,608207,900,48,0.4880
7678627,608208,900,60,0.6222
4656,608214,1200,0,0.0000
4659,608217,1200,120,1.4397
4660,608223,1200,12,0.2683
4662,608203,1200,120,1.1892
4663,608224,1200,24,4.3943
4664,608212,1200,96,14.9158
4665,608204,1200,60,0.6112
4666,608213,1200,0,0.0000
4669,608201,1200,156,1.7981
7633532,608230,1200,168,31.0024
7674949,608222,1200,0,0.0000
7674950,608221,1200,0,0.0000
7674955,608202,1200,216,34.2930
7674956,608206,1200,0,0.0000
7674957,608209,1200,336,52.3616
7678624,608205,1200,180,2.1325
7678625,608219,1200,96,1.1940
7678626,608207,1200,60,0.6262
7678627,608208,1200,60,0.5907
4656,608214,1500,0,0.0000
4659,608217,1500,72,0.8448
4660,608223,1500,36,3.9642
4662,608203,1500,156,1.5588
4663,608224,1500,0,5.9774
4664,608212,1500,60,5.7726
4665,608204,1500,36,0.3378
4666,608213,1500,12,1.7683
4669,608201,1500,192,2.2953
7633532,608230,1500,156,21.7230
7674949,608222,1500,0,0.0000
7674950,608221,1500,0,0.0000
7674955,608202,1500,132,36.0328
7674956,608206,1500,24,7.8760
7674957,608209,1500,348,50.5176
7678624,608205,1500,168,1.8191
7678625,608219,1500,72,0.7916
7678626,608207,1500,36,0.3722
7678627,608208,1500,24,0.2192
4656,608214,1800,0,0.0000
4659,608217,1800,48,0.5681
4660,608223,1800,36,18.6175
4662,608203,1800,108,1.1066
4663,608224,1800,12,7.9804
4664,608212,1800,96,22.0491
4665,608204,1800,48,0.4832
4666,608213,1800,0,0.0000
4669,608201,1800,168,2.1224
7633532,608230,1800,144,24.2415
7674949,608222,1800,0,0.0000
7674950,608221,1800,0,0.0000
7674955,608202,1800,60,13.1908
7674956,608206,1800,0,3.3154
7674957,608209,1800,360,59.3472
7678624,608205,1800,228,2.4622
7678625,608219,1800,12,0.1245
7678626,608207,1800,72,0.7549
7678627,608208,1800,60,0.5841
4656,608214,2100,0,0.0000
4659,608217,2100,84,1.0930
4660,608223,2100,36,13.9197
4662,608203,2100,228,2.1411
4663,608224,2100,12,5.4833
4664,608212,2100,132,23.2414
4665,608204,2100,48,0.4705
4666,608213,2100,24,1.4279
4669,608201,2100,276,3.4412
7633532,608230,2100,288,39.1298
7674949,608222,2100,0,0.0000
7674950,608221,2100,0,0.0000
7674955,608202,2100,168,26.4184
7674956,608206,2100,12,0.4297
7674957,608209,2100,492,57.8189
7678624,608205,2100,252,3.1444
7678625,608219,2100,96,1.0523
7678626,608207,2100,108,1.2314
7678627,608208,2100,108,1.0818
4656,608214,2400,0,0.0000
4659,608217,2400,60,0.7594
4660,608223,2400,12,7.6547
4662,608203,2400,216,2.1133
4663,608224,2400,36,16.9923
4664,608212,2400,192,30.1330
4665,608204,2400,132,1.3475
4666,608213,2400,0,0.0000
4669,608201,2400,240,2.9880
7633532,608230,2400,384,42.7430
7674949,608222,2400,0,0.0000
7674950,608221,2400,0,0.0000
7674955,608202,2400,156,23.4072
7674956,608206,2400,0,0.0000
7674957,608209,2400,516,54.2965
7678624,608205,2400,228,2.5715
7678625,608219,2400,96,1.1921
7678626,608207,2400,168,2.4060
7678627,608208,2400,84,0.8126
4656,608214,2700,0,0.0000
4659,608217,2700,96,0.9451
4660,608223,2700,36,13.1374
4662,608203,2700,204,1.9567
4663,608224,2700,36,9.8522
4664,608212,2700,180,28.8691
4665,608204,2700,144,1.3546
4666,608213,2700,12,0.4175
4669,608201,2700,288,3.4183
7633532,608230,2700,264,28.7382
7674949,608222,2700,0,0.0000
7674950,608221,2700,0,0.0000
7674955,608202,2700,144,33.8053
7674956,608206,2700,0,0.0000
7674957,608209,2700,540,55.4023
7678624,608205,2700,276,3.4314
7678625,608219,2700,48,0.7073
7678626,608207,2700,96,1.1213
7678627,608208,2700,72,0.7922
4656,608214,3000,0,0.0000
4659,608217,3000,132,1.6524
4660,608223,3000,72,15.5377
4662,608203,3000,264,2.7740
4663,608224,3000,60,6.8881
4664,608212,3000,192,23.5005
4665,608204,3000,192,1.9780
4666,608213,3000,12,7.4073
4669,608201,3000,312,4.0190
7633532,608230,3000,372,39.9609
7674949,608222,3000,0,0.0000
7674950,608221,3000,0,0.0000
7674955,608202,3000,180,38.9482
7674956,608206,3000,12,8.5214
7674957,608209,3000,720,75.4018
7678624,608205,3000,408,4.7650
7678625,608219,3000,108,1.2766
7678626,608207,3000,192,2.1382
7678627,608208,3000,72,0.6985
4656,608214,3300,0,0.0000
4659,608217,3300,144,1.8448
4660,608223,3300,12,1.4817
4662,608203,3300,252,2.5735
