DetectorAimsunID,DetectorFieldID,Time(sec),flow(vph),occupancy(%)
919,100003,600,66,43.3432
920,100002,600,96,60.2729
1175,100004,600,54,34.9197
1178,100001,600,210,2.7378
919,100003,1200,54,39.7269
920,100002,1200,156,70.1075
1175,100004,1200,54,30.5709
1178,100001,1200,270,3.6340
919,100003,1800,48,41.2237
920,100002,1800,144,66.6232
1175,100004,1800,96,54.9996
1178,100001,1800,288,3.7487
919,100003,2400,138,65.9361
920,100002,2400,198,62.0940
1175,100004,2400,150,70.3050
1178,100001,2400,498,6.4933
919,100003,3000,96,48.3549
920,100002,3000,234,78.2084
1175,100004,3000,156,63.1434
1178,100001,3000,468,6.1297
919,100003,3600,84,38.7481
920,100002,3600,198,68.2604
1175,100004,3600,108,58.8098
1178,100001,3600,396,5.2017
919,100003,4200,186,61.0260
920,100002,4200,360,78.6020
1175,100004,4200,282,67.2715
1178,100001,4200,834,10.9018
919,100003,4800,114,61.6162
920,100002,4800,312,74.8645
1175,100004,4800,204,71.3784
1178,100001,4800,618,8.0761
919,100003,5400,150,53.3021
920,100002,5400,408,78.8189
1175,100004,5400,228,57.4609
1178,100001,5400,810,10.8202
919,100003,6000,174,54.2304
920,100002,6000,516,83.6018
1175,100004,6000,306,62.3998
1178,100001,6000,1008,13.7246
919,100003,6600,192,57.2701
920,100002,6600,408,83.9712
1175,100004,6600,264,66.9211
1178,100001,6600,882,11.6720
919,100003,7200,198,61.8437
920,100002,7200,534,83.9267
1175,100004,7200,282,67.4170
1178,100001,7200,966,12.6187
919,100003,7800,216,61.1691
920,100002,7800,558,83.7831
1175,100004,7800,384,70.8065
1178,100001,7800,1158,17.5589
919,100003,8400,204,62.8214
920,100002,8400,492,88.0602
1175,100004,8400,324,73.6875
1178,100001,8400,1068,13.8925
919,100003,9000,264,60.2443
920,100002,9000,594,85.2120
1175,100004,9000,402,67.7742
1178,100001,9000,1248,16.7070
919,100003,9600,306,64.0095
920,100002,9600,738,87.5608
1175,100004,9600,480,68.4300
1178,100001,9600,1500,24.8811
919,100003,10200,324,66.3489
920,100002,10200,552,84.7245
1175,100004,10200,468,72.5495
1178,100001,10200,1386,20.5965
919,100003,10800,240,58.3291
920,100002,10800,696,89.6825
1175,100004,10800,384,63.5721
1178,100001,10800,1338,22.5677
919,100003,11400,306,65.7022
920,100002,11400,816,94.4892
1175,100004,11400,480,70.6475
1178,100001,11400,1680,61.8747
919,100003,12000,336,62.7066
920,100002,12000,894,95.9494
1175,100004,12000,564,71.8765
1178,100001,12000,1668,62.5856
919,100003,12600,372,70.7672
920,100002,12600,714,89.4179
1175,100004,12600,528,74.4026
1178,100001,12600,1638,26.6847
919,100003,13200,342,61.5452
920,100002,13200,840,95.6547
1175,100004,13200,570,72.7210
1178,100001,13200,1818,54.3031
919,100003,13800,324,62.4077
920,100002,13800,900,95.5274
1175,100004,13800,558,72.0286
1178,100001,13800,1740,77.2002
919,100003,14400,336,64.8344
920,100002,14400,828,95.8140
1175,100004,14400,582,73.7859
1178,100001,14400,1710,79.1117
919,100003,15000,354,69.0943
920,100002,15000,864,95.3316
1175,100004,15000,684,78.8121
1178,100001,15000,2010,77.4080
919,100003,15600,426,66.9191
920,100002,15600,912,95.4816
1175,100004,15600,750,78.0960
1178,100001,15600,2016,78.1830
919,100003,16200,342,69.9881
920,100002,16200,828,96.0640
1175,100004,16200,654,78.8974
1178,100001,16200,1806,80.4146
919,100003,16800,378,69.1382
920,100002,16800,846,95.6333
1175,100004,16800,684,77.6913
1178,100001,16800,2034,77.5452
919,100003,17400,390,67.5159
920,100002,17400,894,95.4187
1175,100004,17400,816,79.8555
1178,100001,17400,1974,81.1754
919,100003,18000,372,72.4772
920,100002,18000,816,95.9360
1175,100004,18000,726,82.1470
1178,100001,18000,1920,82.5362
919,100003,18600,426,73.1720
920,100002,18600,846,95.4533
1175,100004,18600,744,81.5794
1178,100001,18600,2172,85.5055
919,100003,19200,438,71.1685
920,100002,19200,894,95.0468
1175,100004,19200,822,80.5122
1178,100001,19200,2040,85.7272
919,100003,19800,426,74.2102
920,100002,19800,816,95.7607
1175,100004,19800,780,83.4109
1178,100001,19800,1980,86.5193
919,100003,20400,408,73.3919
920,100002,20400,846,95.7480
1175,100004,20400,768,82.1385
1178,100001,20400,2172,84.1172
919,100003,21000,402,70.5633
920,100002,21000,894,95.6052
1175,100004,21000,858,81.4961
1178,100001,21000,2034,84.7996
919,100003,21600,438,74.1287
920,100002,21600,810,95.7139
1175,100004,21600,756,82.9573
1178,100001,21600,1980,86.3348
919,100003,22200,402,72.3677
920,100002,22200,852,95.6381
1175,100004,22200,744,81.8291
1178,100001,22200,2148,84.6913
919,100003,22800,450,71.1242
920,100002,22800,894,95.3464
1175,100004,22800,816,81.1025
1178,100001,22800,2052,85.8343
919,100003,23400,438,74.4665
920,100002,23400,834,95.9836
1175,100004,23400,750,82.8812
1178,100001,23400,1974,85.6842
919,100003,24000,414,72.3830
920,100002,24000,840,95.4819
1175,100004,24000,750,82.2028
1178,100001,24000,2154,83.2291
919,100003,24600,450,70.6235
920,100002,24600,894,95.1719
1175,100004,24600,834,80.3856
1178,100001,24600,2052,85.5822
919,100003,25200,402,73.9883
920,100002,25200,822,95.7507
1175,100004,25200,762,83.3663
1178,100001,25200,1956,85.9238
919,100003,25800,372,71.3508
920,100002,25800,828,95.4099
1175,100004,25800,798,82.9403
1178,100001,25800,2148,83.2984
919,100003,26400,432,71.8403
920,100002,26400,894,95.4682
1175,100004,26400,834,81.1755
1178,100001,26400,2046,84.4789
919,100003,27000,402,73.2090
920,100002,27000,810,96.1727
1175,100004,27000,786,82.9125
1178,100001,27000,1968,85.5236
919,100003,27600,390,72.1683
920,100002,27600,840,95.4798
1175,100004,27600,774,82.9260
1178,100001,27600,2148,83.7669
919,100003,28200,432,71.1326
920,100002,28200,888,95.8225
1175,100004,28200,846,80.8774
1178,100001,28200,2052,85.8221
919,100003,28800,390,73.3318
920,100002,28800,816,95.9300
1175,100004,28800,786,83.8355
1178,100001,28800,1962,86.2471
