DetectorAimsunID,DetectorFieldID,Time(sec),flow(vph),occupancy(%)
919,100003,600,66,43.4510
920,100002,600,96,59.7411
1175,100004,600,54,35.3144
1178,100001,600,210,2.7378
919,100003,1200,54,40.2133
920,100002,1200,156,70.1075
1175,100004,1200,54,31.0276
1178,100001,1200,270,3.6340
919,100003,1800,48,41.3171
920,100002,1800,144,66.2013
1175,100004,1800,96,55.7830
1178,100001,1800,288,3.7487
919,100003,2400,144,66.4931
920,100002,2400,198,61.2327
1175,100004,2400,144,70.1230
1178,100001,2400,492,6.4111
919,100003,3000,96,48.9473
920,100002,3000,234,77.6638
1175,100004,3000,156,64.4111
1178,100001,3000,468,6.1297
919,100003,3600,90,39.7974
920,100002,3600,198,68.1676
1175,100004,3600,102,65.9860
1178,100001,3600,396,5.1923
919,100003,4200,180,59.0135
920,100002,4200,360,77.8058
1175,100004,4200,288,66.5024
1178,100001,4200,834,10.9018
919,100003,4800,120,61.9543
920,100002,4800,312,74.3173
1175,100004,4800,198,72.6311
1178,100001,4800,618,8.0761
919,100003,5400,144,53.9276
920,100002,5400,408,78.2723
1175,100004,5400,234,59.6752
1178,100001,5400,810,10.8202
919,100003,6000,174,55.5239
920,100002,6000,516,83.3284
1175,100004,6000,306,65.0864
1178,100001,6000,1008,13.7036
919,100003,6600,198,60.6649
920,100002,6600,408,83.8115
1175,100004,6600,258,70.9209
1178,100001,6600,876,11.6265
919,100003,7200,204,63.3222
920,100002,7200,534,83.7934
1175,100004,7200,276,69.7916
1178,100001,7200,966,12.6187
919,100003,7800,228,65.7974
920,100002,7800,558,81.2389
1175,100004,7800,372,70.6560
1178,100001,7800,1158,17.0535
919,100003,8400,210,63.9818
920,100002,8400,498,88.0390
1175,100004,8400,330,76.7890
1178,100001,8400,1068,13.8925
919,100003,9000,276,67.2164
920,100002,9000,594,84.9152
1175,100004,9000,384,68.7065
1178,100001,9000,1254,16.7440
919,100003,9600,342,69.6585
920,100002,9600,738,87.4199
1175,100004,9600,438,74.2086
1178,100001,9600,1500,24.7984
919,100003,10200,360,79.5252
920,100002,10200,552,83.2370
1175,100004,10200,432,82.5838
1178,100001,10200,1386,20.4076
919,100003,10800,252,60.6837
920,100002,10800,696,89.5491
1175,100004,10800,384,67.5634
1178,100001,10800,1338,22.5677
919,100003,11400,306,70.8750
920,100002,11400,816,94.4950
1175,100004,11400,474,77.9159
1178,100001,11400,1680,61.7414
919,100003,12000,354,73.2975
920,100002,12000,894,95.5473
1175,100004,12000,552,82.6833
1178,100001,12000,1674,63.4828
919,100003,12600,408,90.4022
920,100002,12600,714,88.8427
1175,100004,12600,474,89.6553
1178,100001,12600,1644,27.2878
919,100003,13200,414,79.6715
920,100002,13200,858,94.9576
1175,100004,13200,522,87.8317
1178,100001,13200,1842,52.0298
919,100003,13800,360,74.8158
920,100002,13800,906,95.5353
1175,100004,13800,510,81.4462
1178,100001,13800,1746,77.5342
919,100003,14400,390,78.1049
920,100002,14400,852,94.9540
1175,100004,14400,522,85.8973
1178,100001,14400,1740,78.5571
919,100003,15000,420,85.4109
920,100002,15000,864,95.3197
1175,100004,15000,540,90.6268
1178,100001,15000,1980,80.4400
919,100003,15600,468,92.9469
920,100002,15600,906,94.4733
1175,100004,15600,534,95.0399
1178,100001,15600,1788,86.6289
919,100003,16200,390,93.6041
920,100002,16200,822,95.7679
1175,100004,16200,492,96.1059
1178,100001,16200,1740,86.6161
919,100003,16800,426,92.3519
920,100002,16800,828,95.0424
1175,100004,16800,546,95.6096
1178,100001,16800,1890,85.8100
919,100003,17400,432,92.5286
920,100002,17400,888,94.2885
1175,100004,17400,570,95.3646
1178,100001,17400,1770,86.9665
919,100003,18000,408,94.4140
920,100002,18000,810,95.7447
1175,100004,18000,486,95.6719
1178,100001,18000,1716,87.8584
919,100003,18600,414,93.3049
920,100002,18600,840,94.8289
1175,100004,18600,546,95.3126
1178,100001,18600,1896,87.2458
919,100003,19200,444,92.0525
920,100002,19200,882,94.2864
1175,100004,19200,540,94.2590
1178,100001,19200,1764,87.8987
919,100003,19800,402,94.8939
920,100002,19800,828,95.2042
1175,100004,19800,480,95.5774
1178,100001,19800,1728,87.8564
919,100003,20400,420,92.0158
920,100002,20400,840,95.0017
1175,100004,20400,534,94.9731
1178,100001,20400,1890,85.0108
919,100003,21000,456,92.5618
920,100002,21000,888,94.9239
1175,100004,21000,552,95.2946
1178,100001,21000,1788,86.8077
919,100003,21600,402,94.8835
920,100002,21600,840,95.6140
1175,100004,21600,486,95.5744
1178,100001,21600,1728,87.1168
919,100003,22200,408,93.4091
920,100002,22200,840,94.6153
1175,100004,22200,552,93.6627
