DetectorAimsunID,DetectorFieldID,Time(sec),flow(vph),occupancy(%)
919,100003,600,60,35.7161
920,100002,600,0,0.0000
1175,100004,600,78,40.9365
1178,100001,600,132,1.6880
919,100003,1200,60,38.0382
920,100002,1200,0,0.0000
1175,100004,1200,84,31.5208
1178,100001,1200,156,2.0751
919,100003,1800,72,42.5961
920,100002,1800,0,0.0000
1175,100004,1800,108,50.5576
1178,100001,1800,168,2.1858
919,100003,2400,138,63.3173
920,100002,2400,0,0.0000
1175,100004,2400,180,57.3016
1178,100001,2400,324,4.1853
919,100003,3000,108,34.5646
920,100002,3000,0,0.0000
1175,100004,3000,144,56.1254
1178,100001,3000,252,3.2108
919,100003,3600,132,49.6868
920,100002,3600,0,0.0000
1175,100004,3600,144,61.8016
1178,100001,3600,276,3.6127
919,100003,4200,258,67.1793
920,100002,4200,0,0.0000
1175,100004,4200,276,69.4939
1178,100001,4200,528,6.8619
919,100003,4800,180,63.0848
920,100002,4800,0,0.0000
1175,100004,4800,198,54.4312
1178,100001,4800,408,5.2899
919,100003,5400,192,64.9398
920,100002,5400,0,0.0000
1175,100004,5400,234,75.8044
1178,100001,5400,402,5.0615
919,100003,6000,258,68.5506
920,100002,6000,0,0.0000
1175,100004,6000,276,75.5774
1178,100001,6000,534,6.7351
919,100003,6600,252,70.8491
920,100002,6600,0,0.0000
1175,100004,6600,270,71.3340
1178,100001,6600,528,6.7483
919,100003,7200,258,88.1120
920,100002,7200,0,0.0000
1175,100004,7200,264,85.2843
1178,100001,7200,570,7.4098
919,100003,7800,258,96.7516
920,100002,7800,0,0.0000
1175,100004,7800,258,96.6702
1178,100001,7800,660,32.8098
919,100003,8400,246,97.0983
920,100002,8400,0,0.0000
1175,100004,8400,264,96.7650
1178,100001,8400,450,96.8040
919,100003,9000,234,97.8072
920,100002,9000,0,0.0000
1175,100004,9000,246,96.1436
1178,100001,9000,534,97.3031
919,100003,9600,258,97.2203
920,100002,9600,0,0.0000
1175,100004,9600,264,96.5527
1178,100001,9600,522,97.8135
919,100003,10200,264,97.5107
920,100002,10200,0,0.0000
1175,100004,10200,258,96.1928
1178,100001,10200,462,97.3851
919,100003,10800,234,97.4665
920,100002,10800,0,0.0000
1175,100004,10800,234,97.1610
1178,100001,10800,522,96.6842
919,100003,11400,252,97.3368
920,100002,11400,0,0.0000
1175,100004,11400,258,96.5899
1178,100001,11400,516,98.4399
919,100003,12000,252,97.2136
920,100002,12000,0,0.0000
1175,100004,12000,258,96.7492
1178,100001,12000,450,97.9930
919,100003,12600,228,97.4161
920,100002,12600,0,0.0000
1175,100004,12600,222,97.1529
1178,100001,12600,504,97.1655
919,100003,13200,288,97.0868
920,100002,13200,0,0.0000
1175,100004,13200,252,96.2826
1178,100001,13200,534,98.4416
919,100003,13800,246,97.3818
920,100002,13800,0,0.0000
1175,100004,13800,264,96.6362
1178,100001,13800,462,98.4697
919,100003,14400,234,97.4037
920,100002,14400,0,0.0000
1175,100004,14400,234,97.5617
1178,100001,14400,522,97.4552
919,100003,15000,258,97.1487
920,100002,15000,0,0.0000
1175,100004,15000,252,96.6731
1178,100001,15000,510,97.8003
919,100003,15600,246,97.3847
920,100002,15600,0,0.0000
1175,100004,15600,258,96.4592
1178,100001,15600,456,97.2167
919,100003,16200,240,97.3351
920,100002,16200,0,0.0000
1175,100004,16200,234,97.0992
1178,100001,16200,522,97.7641
919,100003,16800,252,97.1735
920,100002,16800,0,0.0000
1175,100004,16800,264,96.8428
1178,100001,16800,522,96.4832
919,100003,17400,246,97.4252
920,100002,17400,0,0.0000
1175,100004,17400,258,96.7390
1178,100001,17400,444,97.4414
919,100003,18000,240,97.5559
920,100002,18000,0,0.0000
1175,100004,18000,234,96.8323
1178,100001,18000,528,98.8213
919,100003,18600,276,97.4524
920,100002,18600,0,0.0000
1175,100004,18600,270,96.3998
1178,100001,18600,546,96.9225
919,100003,19200,252,97.0706
920,100002,19200,0,0.0000
1175,100004,19200,246,97.0227
1178,100001,19200,444,98.4487
919,100003,19800,234,97.4034
920,100002,19800,0,0.0000
1175,100004,19800,228,97.4114
1178,100001,19800,516,98.0364
919,100003,20400,264,97.0134
920,100002,20400,0,0.0000
1175,100004,20400,246,97.1842
1178,100001,20400,510,99.2304
919,100003,21000,252,97.3860
920,100002,21000,0,0.0000
1175,100004,21000,252,96.5032
1178,100001,21000,450,99.1376
919,100003,21600,246,97.5180
920,100002,21600,0,0.0000
1175,100004,21600,246,96.8334
1178,100001,21600,546,97.2298
919,100003,22200,258,96.8520
920,100002,22200,0,0.0000
1175,100004,22200,252,97.0657
1178,100001,22200,516,98.4622
919,100003,22800,240,97.2005
920,100002,22800,0,0.0000
1175,100004,22800,258,96.5509
1178,100001,22800,444,98.2596
919,100003,23400,264,97.6746
920,100002,23400,0,0.0000
1175,100004,23400,216,97.6386
1178,100001,23400,528,98.7106
919,100003,24000,258,97.2620
920,100002,24000,0,0.0000
1175,100004,24000,264,96.6269
1178,100001,24000,522,96.8900
919,100003,24600,246,96.9715
920,100002,24600,0,0.0000
1175,100004,24600,252,97.1307
1178,100001,24600,444,96.5201
919,100003,25200,240,97.6421
920,100002,25200,0,0.0000
1175,100004,25200,222,97.3110
1178,100001,25200,516,97.4219
919,100003,25800,252,97.6062
920,100002,25800,0,0.0000
1175,100004,25800,270,96.3540
1178,100001,25800,522,96.7378
919,100003,26400,240,97.1382
920,100002,26400,0,0.0000
1175,100004,26400,252,96.9576
1178,100001,26400,438,96.6117
919,100003,27000,228,97.2659
920,100002,27000,0,0.0000
1175,100004,27000,228,97.0340
1178,100001,27000,516,97.9303
919,100003,27600,264,97.1654
920,100002,27600,0,0.0000
1175,100004,27600,258,97.0279
1178,100001,27600,516,97.2725
919,100003,28200,246,96.9766
920,100002,28200,0,0.0000
1175,100004,28200,258,96.8140
1178,100001,28200,450,97.9884
919,100003,28800,228,97.3265
920,100002,28800,0,0.0000
1175,100004,28800,228,97.4439
1178,100001,28800,510,97.8829
