DetectorAimsunID,DetectorFieldID,Time(sec),flow(vph),occupancy(%)
4656,608214,300,0,0.0000
4659,608217,300,24,0.2677
4660,608223,300,12,6.7818
4662,608203,300,60,0.6070
4663,608224,300,12,0.3704
4664,608212,300,72,19.2618
4665,608204,300,72,0.6992
4666,608213,300,156,45.5011
4669,608201,300,372,4.4589
7633532,608230,300,84,30.8120
7674949,608222,300,0,0.0000
7674950,608221,300,12,0.2864
7674955,608202,300,60,13.5157
7674956,608206,300,0,0.0000
7674957,608209,300,288,45.2403
7678624,608205,300,120,1.3349
7678625,608219,300,36,0.4165
7678626,608207,300,36,0.3753
7678627,608208,300,24,0.2494
4656,608214,600,0,0.0000
4659,608217,600,36,0.4076
4660,608223,600,0,14.5991
4662,608203,600,84,0.8572
4663,608224,600,48,14.9408
4664,608212,600,108,46.4312
4665,608204,600,96,0.9070
4666,608213,600,228,42.5396
4669,608201,600,252,2.9373
7633532,608230,600,144,35.5697
7674949,608222,600,0,0.0000
7674950,608221,600,12,0.3929
7674955,608202,600,84,20.3145
7674956,608206,600,0,0.0000
7674957,608209,600,204,28.0965
7678624,608205,600,132,1.4782
7678625,608219,600,48,0.5350
7678626,608207,600,60,0.6216
7678627,608208,600,48,0.5164
4656,608214,900,0,0.0000
4659,608217,900,24,0.2816
4660,608223,900,0,0.0000
4662,608203,900,108,1.0802
4663,608224,900,24,1.1589
4664,608212,900,60,17.3523
4665,608204,900,60,0.5884
4666,608213,900,228,47.6668
4669,608201,900,348,4.2076
7633532,608230,900,144,44.1019
7674949,608222,900,0,0.0000
7674950,608221,900,24,0.9369
7674955,608202,900,48,5.5530
7674956,608206,900,0,0.0000
7674957,608209,900,228,19.1742
7678624,608205,900,132,1.4713
7678625,608219,900,24,0.2505
7678626,608207,900,36,0.3814
7678627,608208,900,24,0.2204
4656,608214,1200,0,0.0000
4659,608217,1200,108,1.2780
4660,608223,1200,12,5.8047
4662,608203,1200,120,1.1922
4663,608224,1200,24,7.4733
4664,608212,1200,36,21.1507
4665,608204,1200,24,0.2606
4666,608213,1200,228,40.7505
4669,608201,1200,372,4.3399
7633532,608230,1200,168,48.5225
7674949,608222,1200,0,0.0000
7674950,608221,1200,36,0.9135
7674955,608202,1200,216,38.0034
7674956,608206,1200,12,0.4246
7674957,608209,1200,336,33.0096
7678624,608205,1200,192,2.2755
7678625,608219,1200,120,1.2722
7678626,608207,1200,60,0.6262
7678627,608208,1200,36,0.3440
4656,608214,1500,0,0.0000
4659,608217,1500,72,0.8355
4660,608223,1500,36,19.0393
4662,608203,1500,132,1.3911
4663,608224,1500,0,0.0070
4664,608212,1500,144,24.0027
4665,608204,1500,72,0.6698
4666,608213,1500,276,53.5562
4669,608201,1500,456,5.3234
7633532,608230,1500,156,46.4130
7674949,608222,1500,0,0.0000
7674950,608221,1500,0,0.4085
7674955,608202,1500,132,15.9312
7674956,608206,1500,0,0.0000
7674957,608209,1500,360,40.3843
7678624,608205,1500,168,1.9237
7678625,608219,1500,60,0.6463
7678626,608207,1500,60,0.6171
7678627,608208,1500,72,0.6994
4656,608214,1800,0,0.0000
4659,608217,1800,48,0.5769
4660,608223,1800,36,5.3209
4662,608203,1800,120,1.2028
4663,608224,1800,12,15.5101
4664,608212,1800,72,13.4089
4665,608204,1800,48,0.4896
4666,608213,1800,192,32.4279
4669,608201,1800,408,4.5097
7633532,608230,1800,144,27.5315
7674949,608222,1800,0,0.0000
7674950,608221,1800,36,0.5310
7674955,608202,1800,60,17.4544
7674956,608206,1800,0,0.0000
7674957,608209,1800,384,40.4977
7678624,608205,1800,180,2.1311
7678625,608219,1800,12,0.1245
7678626,608207,1800,60,0.6497
7678627,608208,1800,36,0.3607
4656,608214,2100,0,0.0000
4659,608217,2100,72,0.8777
4660,608223,2100,36,9.4263
4662,608203,2100,204,2.0902
4663,608224,2100,12,9.3527
4664,608212,2100,144,28.4199
4665,608204,2100,60,0.5918
4666,608213,2100,384,64.9954
4669,608201,2100,552,15.1251
7633532,608230,2100,288,57.2244
7674949,608222,2100,0,0.0000
7674950,608221,2100,24,9.5693
7674955,608202,2100,132,40.6756
7674956,608206,2100,0,0.0000
7674957,608209,2100,492,54.2585
7678624,608205,2100,324,3.8200
7678625,608219,2100,96,1.1647
7678626,608207,2100,132,1.4060
7678627,608208,2100,96,0.9627
4656,608214,2400,0,0.0000
4659,608217,2400,60,0.7503
4660,608223,2400,12,1.3953
4662,608203,2400,204,2.3700
4663,608224,2400,36,18.8105
4664,608212,2400,216,36.0843
4665,608204,2400,156,1.4277
4666,608213,2400,384,52.4040
4669,608201,2400,552,7.1655
7633532,608230,2400,384,59.9153
7674949,608222,2400,0,0.0000
7674950,608221,2400,36,1.8435
7674955,608202,2400,180,65.3856
7674956,608206,2400,12,5.7481
7674957,608209,2400,492,57.5040
7678624,608205,2400,324,4.0657
7678625,608219,2400,96,1.0155
7678626,608207,2400,180,2.3856
7678627,608208,2400,96,1.0725
4656,608214,2700,0,0.0000
4659,608217,2700,84,0.8427
4660,608223,2700,36,21.8995
4662,608203,2700,216,2.3078
4663,608224,2700,36,28.6142
4664,608212,2700,144,42.8014
4665,608204,2700,96,0.9101
4666,608213,2700,492,74.9330
4669,608201,2700,720,10.4417
7633532,608230,2700,264,53.4866
7674949,608222,2700,0,0.0000
7674950,608221,2700,60,3.0284
7674955,608202,2700,156,45.8727
7674956,608206,2700,12,2.6358
7674957,608209,2700,564,52.4847
7678624,608205,2700,336,5.5317
7678625,608219,2700,84,1.1127
7678626,608207,2700,84,0.8931
7678627,608208,2700,84,0.8543
4656,608214,3000,0,0.0000
4659,608217,3000,84,1.0329
4660,608223,3000,72,29.1471
4662,608203,3000,264,2.9581
4663,608224,3000,60,32.6151
4664,608212,3000,120,23.7761
4665,608204,3000,156,1.4607
4666,608213,3000,576,83.3786
4669,608201,3000,756,21.4987
7633532,608230,3000,372,57.1213
7674949,608222,3000,0,0.0000
7674950,608221,3000,12,17.7489
7674955,608202,3000,180,33.1275
7674956,608206,3000,0,0.0000
7674957,608209,3000,672,62.5530
7678624,608205,3000,552,10.2949
7678625,608219,3000,96,1.1634
7678626,608207,3000,192,2.1566
7678627,608208,3000,48,0.5718
4656,608214,3300,0,0.0000
4659,608217,3300,168,2.2395
4660,608223,3300,12,0.2533
4662,608203,3300,228,2.4562
4663,608224,3300,36,14.6106
4664,608212,3300,108,35.3342
4665,608204,3300,84,0.8547
4666,608213,3300,660,78.1819
4669,608201,3300,864,13.5546
7633532,608230,3300,360,61.5386
7674949,608222,3300,0,0.0000
7674950,608221,3300,48,4.9108
7674955,608202,3300,384,31.1790
7674956,608206,3300,0,0.0000
7674957,608209,3300,816,53.3315
7678624,608205,3300,564,8.6364
7678625,608219,3300,216,2.8418
7678626,608207,3300,144,1.7211
7678627,608208,3300,36,0.3494
4656,608214,3600,0,0.0000
4659,608217,3600,84,0.9570
4660,608223,3600,24,16.1603
4662,608203,3600,192,2.1358
4663,608224,3600,48,6.5634
4664,608212,3600,216,56.2354
4665,608204,3600,132,1.3161
4666,608213,3600,624,71.3561
4669,608201,3600,708,25.9000
7633532,608230,3600,300,53.2935
7674949,608222,3600,0,0.0000
7674950,608221,3600,60,6.2140
7674955,608202,3600,156,73.9915
7674956,608206,3600,0,0.0000
7674957,608209,3600,588,57.9553
7678624,608205,3600,504,7.4888
7678625,608219,3600,96,1.1762
7678626,608207,3600,120,1.5197
7678627,608208,3600,132,1.3898
4656,608214,3900,0,0.0000
4659,608217,3900,108,1.3035
