DetectorAimsunID,DetectorFieldID,Time(sec),flow(vph),occupancy(%)
4656,608214,300,0,0.0000
4659,608217,300,36,0.4121
4660,608223,300,12,6.8959
4662,608203,300,60,0.6516
4663,608224,300,12,10.7299
4664,608212,300,84,33.8578
4665,608204,300,84,0.8177
4666,608213,300,1068,90.0014
4669,608201,300,816,62.5702
7633532,608230,300,72,33.9083
7674949,608222,300,0,0.0000
7674950,608221,300,12,9.2652
7674955,608202,300,72,13.2186
7674956,608206,300,0,0.0000
7674957,608209,300,132,29.0598
7678624,608205,300,420,38.1837
7678625,608219,300,36,0.4176
7678626,608207,300,36,0.3756
7678627,608208,300,24,0.2672
4656,608214,600,0,0.0000
4659,608217,600,36,0.4076
4660,608223,600,0,3.3992
4662,608203,600,84,0.7749
4663,608224,600,48,9.6130
4664,608212,600,48,13.2992
4665,608204,600,60,0.5913
4666,608213,600,900,91.0111
4669,608201,600,780,66.4167
7633532,608230,600,156,62.2046
7674949,608222,600,0,0.0000
7674950,608221,600,12,33.3274
7674955,608202,600,96,55.7125
7674956,608206,600,0,0.0000
7674957,608209,600,240,33.4558
7678624,608205,600,408,33.8252
7678625,608219,600,60,0.6701
7678626,608207,600,60,0.7356
7678627,608208,600,24,0.2674
4656,608214,900,0,0.0000
4659,608217,900,24,0.2816
4660,608223,900,0,0.0000
4662,608203,900,96,0.9877
4663,608224,900,24,24.0076
4664,608212,900,24,4.2182
4665,608204,900,36,0.3462
4666,608213,900,1068,87.6119
4669,608201,900,948,55.0560
7633532,608230,900,144,50.7576
7674949,608222,900,0,0.0000
7674950,608221,900,60,34.4583
7674955,608202,900,48,43.6645
7674956,608206,900,0,0.0000
7674957,608209,900,168,10.5390
7678624,608205,900,276,30.0843
7678625,608219,900,24,0.2542
7678626,608207,900,48,0.4916
7678627,608208,900,12,0.1275
4656,608214,1200,0,0.0000
4659,608217,1200,84,0.9879
4660,608223,1200,12,0.2683
4662,608203,1200,120,1.1909
4663,608224,1200,24,3.6204
4664,608212,1200,96,27.7477
4665,608204,1200,60,0.6195
4666,608213,1200,876,93.9465
4669,608201,1200,768,67.0092
7633532,608230,1200,168,50.2970
7674949,608222,1200,0,0.0000
7674950,608221,1200,12,27.2857
7674955,608202,1200,168,34.7892
7674956,608206,1200,0,0.0000
7674957,608209,1200,168,25.5403
7678624,608205,1200,348,39.3641
7678625,608219,1200,84,0.9672
7678626,608207,1200,60,0.6341
7678627,608208,1200,60,0.6400
4656,608214,1500,0,0.0000
4659,608217,1500,96,1.1242
4660,608223,1500,36,21.1315
4662,608203,1500,156,1.4874
4663,608224,1500,0,0.0000
4664,608212,1500,144,38.5985
4665,608204,1500,72,0.7331
4666,608213,1500,804,94.8777
4669,608201,1500,528,74.2009
7633532,608230,1500,156,52.5180
7674949,608222,1500,0,0.0000
7674950,608221,1500,0,31.0652
7674955,608202,1500,168,39.7777
7674956,608206,1500,0,0.0000
7674957,608209,1500,192,39.7979
7678624,608205,1500,480,52.9196
7678625,608219,1500,84,0.9214
7678626,608207,1500,36,0.4389
7678627,608208,1500,72,0.7542
4656,608214,1800,0,0.0000
4659,608217,1800,48,0.5723
4660,608223,1800,36,29.8561
4662,608203,1800,108,1.1130
4663,608224,1800,12,20.2470
4664,608212,1800,108,21.0649
4665,608204,1800,60,0.5853
4666,608213,1800,960,90.9876
4669,608201,1800,660,67.2766
7633532,608230,1800,144,58.5548
7674949,608222,1800,0,0.0000
7674950,608221,1800,0,30.0624
7674955,608202,1800,60,34.1602
7674956,608206,1800,0,0.0000
7674957,608209,1800,168,29.9082
7678624,608205,1800,456,41.2285
7678625,608219,1800,12,0.1216
7678626,608207,1800,72,0.7657
7678627,608208,1800,60,0.6233
4656,608214,2100,0,0.0000
4659,608217,2100,60,0.7752
4660,608223,2100,36,48.9293
4662,608203,2100,216,1.9549
4663,608224,2100,12,0.4005
4664,608212,2100,96,34.2999
4665,608204,2100,60,0.7546
4666,608213,2100,864,94.8367
4669,608201,2100,624,70.6228
7633532,608230,2100,288,71.5947
7674949,608222,2100,0,0.0000
7674950,608221,2100,0,32.8159
7674955,608202,2100,168,31.8068
7674956,608206,2100,24,26.3372
7674957,608209,2100,132,32.7312
7678624,608205,2100,372,43.4346
7678625,608219,2100,120,1.3679
7678626,608207,2100,120,1.4715
7678627,608208,2100,48,0.4300
4656,608214,2400,0,0.0000
4659,608217,2400,84,1.0280
4660,608223,2400,12,6.4946
4662,608203,2400,228,2.8708
4663,608224,2400,36,18.7750
4664,608212,2400,144,34.5737
4665,608204,2400,108,1.0483
4666,608213,2400,900,92.0428
4669,608201,2400,732,67.5729
7633532,608230,2400,372,65.1925
7674949,608222,2400,0,0.0000
7674950,608221,2400,0,20.8520
7674955,608202,2400,168,26.0122
7674956,608206,2400,0,0.0000
7674957,608209,2400,252,38.4769
7678624,608205,2400,384,41.9791
7678625,608219,2400,84,0.9607
7678626,608207,2400,156,2.3851
7678627,608208,2400,60,0.5790
4656,608214,2700,0,0.0000
4659,608217,2700,84,0.8270
4660,608223,2700,36,29.1696
4662,608203,2700,204,2.1195
4663,608224,2700,36,25.2229
4664,608212,2700,192,39.9506
4665,608204,2700,120,1.2504
4666,608213,2700,804,94.4901
4669,608201,2700,564,62.0270
7633532,608230,2700,276,55.1264
7674949,608222,2700,0,0.0000
7674950,608221,2700,0,32.9826
7674955,608202,2700,144,40.3437
7674956,608206,2700,0,0.0000
7674957,608209,2700,96,16.0111
7678624,608205,2700,408,53.9133
7678625,608219,2700,60,0.8306
7678626,608207,2700,96,1.0432
7678627,608208,2700,108,1.1174
4656,608214,3000,0,0.0000
4659,608217,3000,120,1.4062
4660,608223,3000,72,32.7528
4662,608203,3000,264,2.7996
4663,608224,3000,60,27.9379
4664,608212,3000,132,37.5810
