DetectorAimsunID,DetectorFieldID,Time(sec),flow(vph),occupancy(%)
4115,508102,300,0,0.0000
4444,508226,300,0,0.0000
4445,508222,300,0,0.0000
4447,508202,300,48,0.4914
4448,508217,300,0,0.0000
4449,508216,300,0,0.0000
4453,508204,300,12,0.1504
4455,508203,300,84,1.2554
4458,508205,300,120,1.8631
4656,608214,300,0,0.0000
4659,608217,300,24,0.2677
4660,608223,300,12,1.6936
4662,608203,300,48,0.4796
4663,608224,300,0,0.0000
4664,608212,300,84,10.8745
4665,608204,300,72,0.6149
4666,608213,300,180,38.0999
4669,608201,300,336,3.9279
4732,508321,300,12,3.7655
4734,508325,300,12,0.3095
4735,508309,300,96,23.3836
4736,508305,300,60,0.9759
4737,508311,300,0,0.0000
4739,508315,300,0,0.0000
4741,508312,300,0,0.0000
4742,508328,300,12,1.9307
4743,508324,300,132,22.8200
4744,508304,300,60,0.7812
4746,508322,300,0,0.0000
4748,508310,300,276,36.1542
4749,508302,300,132,2.2953
5152,608306,300,0,0.0000
5155,608323,300,0,0.0000
5156,608327,300,0,0.0000
5157,608303,300,0,0.0000
5158,608307,300,0,0.0000
5159,608302,300,0,0.0000
5186,608114,300,0,0.0000
5189,608104,300,0,0.0000
5190,608108,300,84,36.6257
5192,608103,300,0,0.0000
5193,608107,300,24,12.9762
5195,608113,300,0,0.0000
5612,507215,300,12,3.8431
5613,507204,300,12,0.1601
5616,507208,300,24,0.3152
5617,507213,300,0,0.0000
5619,507202,300,0,0.0000
5620,507214,300,0,0.0000
5621,507209,300,0,0.0000
5623,507201,300,0,0.0000
5624,507203,300,0,0.0000
5626,507207,300,0,0.0000
7602942,507206,300,0,0.0000
7602943,507205,300,0,0.0000
7602950,508106,300,144,1.3980
7602969,508201,300,192,3.0398
7602972,508208,300,24,0.2603
7602973,508206,300,60,0.6258
7602977,508207,300,0,0.0000
7602978,508301,300,48,0.7446
7602982,508306,300,144,2.3817
7602986,508308,300,96,1.2063
7633532,608230,300,96,15.2797
7674938,508215,300,12,0.0914
7674941,608102,300,36,0.3961
7674942,608106,300,60,0.6906
7674943,608105,300,144,1.6788
7674944,608101,300,120,1.3937
7674949,608222,300,0,0.0000
7674950,608221,300,24,0.7535
7674955,608202,300,72,20.6242
7674956,608206,300,0,0.0000
7674957,608209,300,336,45.9713
7674958,608322,300,60,0.6670
7674959,608326,300,48,0.5578
7674960,608305,300,240,2.8198
7674961,608301,300,288,3.3811
7678624,608205,300,192,2.2423
7678625,608219,300,48,0.5594
7678626,608207,300,60,0.6015
7678627,608208,300,12,0.1806
7823594,508105,300,84,0.6992
7823595,508101,300,144,1.2839
4115,508102,600,0,0.0000
4444,508226,600,0,0.0000
4445,508222,600,0,0.0000
4447,508202,600,24,0.2668
4448,508217,600,0,0.0000
4449,508216,600,0,0.0000
4453,508204,600,12,0.1569
4455,508203,600,120,1.7240
4458,508205,600,96,1.7777
4656,608214,600,0,0.0000
4659,608217,600,36,0.4075
4660,608223,600,0,0.0000
4662,608203,600,84,0.9126
4663,608224,600,36,20.0857
4664,608212,600,84,20.8508
4665,608204,600,36,0.3525
4666,608213,600,108,28.0211
4669,608201,600,312,3.6771
4732,508321,600,0,0.0000
4734,508325,600,0,0.0000
4735,508309,600,84,11.2353
4736,508305,600,48,0.7407
4737,508311,600,0,0.0000
