DetectorAimsunID,DetectorFieldID,Time(sec),flow(vph),occupancy(%)
919,100003,600,18,17.9373
920,100002,600,72,50.8634
1175,100004,600,18,12.3632
1178,100001,600,96,1.2319
1407,100000,600,18,0.2315
919,100003,1200,18,32.1939
920,100002,1200,78,64.2177
1175,100004,1200,12,11.8731
1178,100001,1200,96,1.3562
1407,100000,1200,12,0.1528
919,100003,1800,12,16.9117
920,100002,1800,120,72.0549
1175,100004,1800,6,0.4422
1178,100001,1800,126,1.7102
1407,100000,1800,6,0.0696
919,100003,2400,48,22.2154
920,100002,2400,228,82.9987
1175,100004,2400,60,27.7406
1178,100001,2400,270,3.5663
1407,100000,2400,78,1.0240
919,100003,3000,30,33.3484
920,100002,3000,168,66.8335
1175,100004,3000,48,52.2416
1178,100001,3000,168,2.2434
1407,100000,3000,66,0.8598
919,100003,3600,36,28.8647
920,100002,3600,168,68.8334
1175,100004,3600,54,43.4035
1178,100001,3600,192,2.5373
1407,100000,3600,66,0.8902
919,100003,4200,48,29.4892
920,100002,4200,288,83.4480
1175,100004,4200,78,55.4726
1178,100001,4200,318,4.3307
1407,100000,4200,102,1.3365
919,100003,4800,30,21.5555
920,100002,4800,270,86.0037
1175,100004,4800,66,24.5168
1178,100001,4800,282,3.7088
1407,100000,4800,72,0.9316
919,100003,5400,72,33.1448
920,100002,5400,258,81.6911
1175,100004,5400,102,35.8829
1178,100001,5400,324,4.3267
1407,100000,5400,120,1.5360
919,100003,6000,60,32.8275
920,100002,6000,288,97.8122
1175,100004,6000,108,48.4638
1178,100001,6000,372,36.5162
1407,100000,6000,156,2.0337
919,100003,6600,36,23.4338
920,100002,6600,516,94.3832
1175,100004,6600,72,32.4144
1178,100001,6600,438,44.7660
1407,100000,6600,102,1.3314
919,100003,7200,30,33.3270
920,100002,7200,270,94.0139
1175,100004,7200,120,37.5192
1178,100001,7200,366,31.1398
1407,100000,7200,138,1.7896
919,100003,7800,66,33.0099
920,100002,7800,474,97.8131
1175,100004,7800,120,47.3127
1178,100001,7800,480,86.0024
1407,100000,7800,186,2.4798
919,100003,8400,54,29.2703
920,100002,8400,348,98.9120
1175,100004,8400,150,49.4333
1178,100001,8400,348,89.8060
1407,100000,8400,198,2.6231
919,100003,9000,48,29.5553
920,100002,9000,474,97.9803
1175,100004,9000,108,44.6191
1178,100001,9000,474,86.0066
1407,100000,9000,156,2.0780
919,100003,9600,60,31.0075
920,100002,9600,390,98.4746
1175,100004,9600,150,47.4881
1178,100001,9600,366,89.0796
1407,100000,9600,210,2.7261
919,100003,10200,78,40.8262
920,100002,10200,384,98.5988
1175,100004,10200,192,44.9015
1178,100001,10200,354,89.6406
1407,100000,10200,270,3.6125
919,100003,10800,60,37.7953
920,100002,10800,510,97.8391
1175,100004,10800,180,47.7647
1178,100001,10800,504,85.1034
1407,100000,10800,240,3.1580
919,100003,11400,84,34.2641
920,100002,11400,282,98.9355
1175,100004,11400,222,50.0228
1178,100001,11400,306,90.7883
1407,100000,11400,300,3.9936
919,100003,12000,108,40.6466
920,100002,12000,450,98.0912
1175,100004,12000,204,52.4197
1178,100001,12000,492,85.6064
1407,100000,12000,312,4.1323
919,100003,12600,102,47.3054
920,100002,12600,384,98.2490
1175,100004,12600,210,58.8588
1178,100001,12600,384,88.7030
1407,100000,12600,318,4.2726
919,100003,13200,84,42.9675
920,100002,13200,432,98.1019
1175,100004,13200,192,55.5402
1178,100001,13200,432,86.9875
1407,100000,13200,276,3.6202
919,100003,13800,102,51.2142
920,100002,13800,456,97.9233
1175,100004,13800,198,55.2826
1178,100001,13800,462,86.5798
1407,100000,13800,300,3.9754
919,100003,14400,66,34.8044
920,100002,14400,294,99.0040
1175,100004,14400,186,53.1214
1178,100001,14400,264,92.4572
1407,100000,14400,246,3.2559
919,100003,15000,162,54.0163
920,100002,15000,534,97.8421
1175,100004,15000,258,56.2438
1178,100001,15000,504,85.0153
1407,100000,15000,414,5.6205
919,100003,15600,114,42.6340
920,100002,15600,306,99.0469
1175,100004,15600,216,54.9871
1178,100001,15600,318,90.5998
1407,100000,15600,336,4.5596
919,100003,16200,144,54.6420
920,100002,16200,426,98.1236
1175,100004,16200,276,57.3477
1178,100001,16200,480,85.9900
1407,100000,16200,420,5.4436
919,100003,16800,204,68.8981
920,100002,16800,420,98.6234
1175,100004,16800,246,76.2105
1178,100001,16800,414,87.8222
1407,100000,16800,444,5.9285
919,100003,17400,144,50.6819
920,100002,17400,396,98.4562
1175,100004,17400,246,64.0833
1178,100001,17400,396,88.1222
1407,100000,17400,402,5.3231
919,100003,18000,126,43.7497
920,100002,18000,492,97.7340
1175,100004,18000,192,53.5529
1178,100001,18000,492,85.3593
1407,100000,18000,318,4.2381
919,100003,18600,186,76.9478
920,100002,18600,258,99.2525
1175,100004,18600,246,77.9691
1178,100001,18600,258,92.6363
1407,100000,18600,522,7.0079
919,100003,19200,228,68.0101
920,100002,19200,486,97.9946
1175,100004,19200,342,77.2306
1178,100001,19200,450,86.7359
1407,100000,19200,474,6.5203
919,100003,19800,174,55.4624
920,100002,19800,390,98.6354
1175,100004,19800,228,58.0196
1178,100001,19800,378,88.8965
1407,100000,19800,408,5.4392
919,100003,20400,240,71.7381
920,100002,20400,384,98.2330
1175,100004,20400,306,77.0523
1178,100001,20400,432,87.0987
1407,100000,20400,534,7.0647
919,100003,21000,234,80.2407
920,100002,21000,468,97.9207
1175,100004,21000,282,83.2648
1178,100001,21000,468,86.3928
1407,100000,21000,516,6.8269
919,100003,21600,210,71.1664
920,100002,21600,354,98.6227
1175,100004,21600,252,77.8919
1178,100001,21600,354,89.4686
1407,100000,21600,474,6.4361
919,100003,22200,210,74.3792
920,100002,22200,492,98.0985
1175,100004,22200,258,80.1586
1178,100001,22200,492,85.4301
1407,100000,22200,462,6.2759
919,100003,22800,258,75.5145
920,100002,22800,306,99.0513
1175,100004,22800,264,80.3380
1178,100001,22800,306,91.1234
1407,100000,22800,534,8.4356
919,100003,23400,192,62.7345
920,100002,23400,408,98.2018
1175,100004,23400,264,66.7613
1178,100001,23400,408,88.0864
1407,100000,23400,480,6.5279
919,100003,24000,300,88.6723
920,100002,24000,462,98.4016
1175,100004,24000,330,89.5916
1178,100001,24000,414,87.5688
1407,100000,24000,654,20.2328
919,100003,24600,318,94.8982
920,100002,24600,354,98.2397
1175,100004,24600,318,95.6417
1178,100001,24600,408,87.9920
1407,100000,24600,612,54.8776
919,100003,25200,264,96.2338
920,100002,25200,492,96.2639
1175,100004,25200,252,96.4223
1178,100001,25200,522,85.9188
1407,100000,25200,576,83.5529
919,100003,25800,318,95.2061
920,100002,25800,354,98.2130
1175,100004,25800,330,95.1651
1178,100001,25800,354,89.9519
1407,100000,25800,600,80.2661
919,100003,26400,246,96.0074
920,100002,26400,462,97.5230
1175,100004,26400,258,96.3270
1178,100001,26400,468,86.7422
1407,100000,26400,540,50.2669
919,100003,27000,324,95.4760
920,100002,27000,396,98.3365
1175,100004,27000,324,95.6895
1178,100001,27000,390,88.6817
1407,100000,27000,606,53.0627
919,100003,27600,258,97.1106
920,100002,27600,318,97.2230
1175,100004,27600,246,96.7037
1178,100001,27600,336,90.2906
1407,100000,27600,540,69.5881
919,100003,28200,324,96.2891
920,100002,28200,462,97.4791
1175,100004,28200,348,94.4137
1178,100001,28200,468,87.2916
1407,100000,28200,642,82.0487
