DetectorAimsunID,DetectorFieldID,Time(sec),flow(vph),occupancy(%)
4656,608214,300,0,0.0000
4659,608217,300,276,8.6509
4660,608223,300,48,9.5198
4662,608203,300,468,5.1202
4663,608224,300,60,34.2971
4664,608212,300,420,48.9398
4665,608204,300,192,2.0718
4666,608213,300,0,0.0000
4669,608201,300,684,21.4872
7633532,608230,300,780,60.0948
7674949,608222,300,0,0.0000
7674950,608221,300,0,0.0000
7674955,608202,300,540,38.3072
7674956,608206,300,12,0.4348
7674957,608209,300,1200,72.3094
7678624,608205,300,672,23.2292
7678625,608219,300,276,8.0784
7678626,608207,300,276,3.2927
7678627,608208,300,228,2.3173
4656,608214,600,0,0.0000
4659,608217,600,252,2.9883
4660,608223,600,72,38.5430
4662,608203,600,432,4.8789
4663,608224,600,60,41.6503
4664,608212,600,480,56.1945
4665,608204,600,300,3.4338
4666,608213,600,12,2.1998
4669,608201,600,768,34.3058
7633532,608230,600,660,69.7660
7674949,608222,600,0,0.0000
7674950,608221,600,0,0.0585
7674955,608202,600,444,20.4186
7674956,608206,600,0,0.0000
7674957,608209,600,1608,76.1447
7678624,608205,600,804,35.1394
7678625,608219,600,192,2.5317
7678626,608207,600,312,3.8164
7678627,608208,600,240,2.4253
4656,608214,900,0,0.0000
4659,608217,900,216,16.5092
4660,608223,900,48,32.0925
4662,608203,900,348,3.8068
4663,608224,900,36,21.2992
4664,608212,900,408,56.3596
4665,608204,900,264,2.7933
4666,608213,900,48,11.0818
4669,608201,900,708,15.0467
7633532,608230,900,540,65.1303
7674949,608222,900,0,0.0000
7674950,608221,900,0,0.3097
7674955,608202,900,480,38.2090
7674956,608206,900,0,0.0000
7674957,608209,900,1452,75.7356
7678624,608205,900,804,19.8076
7678625,608219,900,312,17.7342
7678626,608207,900,228,2.6096
7678627,608208,900,180,1.7693
4656,608214,1200,0,0.0000
4659,608217,1200,192,8.7492
4660,608223,1200,36,12.2915
4662,608203,1200,468,10.1714
4663,608224,1200,108,76.4637
4664,608212,1200,432,56.8744
4665,608204,1200,360,4.2918
4666,608213,1200,12,7.6486
4669,608201,1200,696,20.2764
7633532,608230,1200,816,65.5894
7674949,608222,1200,0,0.0000
7674950,608221,1200,0,0.0608
7674955,608202,1200,432,37.0577
7674956,608206,1200,0,0.0000
7674957,608209,1200,1428,78.6336
7678624,608205,1200,720,21.6162
7678625,608219,1200,192,8.8371
7678626,608207,1200,408,9.0959
7678627,608208,1200,216,2.1514
4656,608214,1500,0,0.0000
4659,608217,1500,180,2.4413
4660,608223,1500,132,60.5693
4662,608203,1500,504,5.7626
4663,608224,1500,192,80.1572
4664,608212,1500,480,49.9380
4665,608204,1500,360,4.6296
4666,608213,1500,12,8.0709
4669,608201,1500,552,9.0701
7633532,608230,1500,672,61.9261
7674949,608222,1500,0,0.0000
7674950,608221,1500,0,0.0000
7674955,608202,1500,336,32.1979
7674956,608206,1500,0,0.0000
7674957,608209,1500,1068,73.7448
7678624,608205,1500,576,10.3278
7678625,608219,1500,156,2.2074
7678626,608207,1500,276,3.5766
7678627,608208,1500,276,3.1437
4656,608214,1800,0,0.0000
4659,608217,1800,192,2.6221
4660,608223,1800,144,54.0186
4662,608203,1800,456,5.5999
4663,608224,1800,84,49.1011
4664,608212,1800,384,45.6380
4665,608204,1800,276,2.8021
4666,608213,1800,36,7.1096
4669,608201,1800,672,19.5946
7633532,608230,1800,576,60.9191
7674949,608222,1800,0,0.0000
7674950,608221,1800,0,0.2089
7674955,608202,1800,240,22.4303
7674956,608206,1800,12,0.4270
7674957,608209,1800,1344,76.5126
7678624,608205,1800,708,21.3388
7678625,608219,1800,168,2.6246
7678626,608207,1800,264,4.0535
7678627,608208,1800,192,2.0827
4656,608214,2100,0,0.0000
4659,608217,2100,240,8.5567
